100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
18,994819,[2 7 6 3 8 0 9 1 5 4],2383218,[6 5 0 9 1 2 8 3 4 7],2687254,[7 3 6 1 2 8 9 5 0 4],3190365,[8 7 1 0 2 4 9 5 6 3],203035,[0 6 1 3 9 8 7 2 5 4],174364,[0 5 3 7 2 1 4 9 6 8],3566322,[9 7 3 5 1 2 8 0 4 6],3154007,[8 6 1 7 4 2 9 5 3 0],1610411,[4 3 9 5 7 0 2 8 6 1],2263910,[6 2 1 3 4 9 7 5 0 8]
19,3090436,[8 4 6 1 2 7 0 9 3 5],1804890,[4 9 7 0 6 5 8 1 2 3],743085,[2 0 5 6 1 4 9 7 8 3],147247,[0 4 7 2 6 1 5 3 9 8],764850,[2 0 9 7 3 6 8 1 4 5],1217470,[3 4 1 6 9 5 8 7 0 2],745852,[2 0 5 9 8 4 1 7 3 6],2866957,[7 9 0 6 8 2 4 1 5 3],1029168,[2 8 5 1 4 6 0 3 7 9],1219281,[3 4 1 9 5 7 2 6 8 0]
20,2403671,[6 5 4 9 2 3 8 7 1 0],1248252,[3 4 9 6 7 0 5 1 2 8],1146310,[3 1 5 6 0 7 9 8 2 4],2322617,[6 3 5 8 9 0 4 7 2 1],1026557,[2 8 4 6 7 5 0 9 3 1],2510652,[6 9 2 1 0 3 7 4 5 8],1710106,[4 7 3 2 0 9 5 8 1 6],2400815,[6 5 4 2 3 8 9 7 1 0],2922859,[8 0 4 9 5 1 7 2 6 3],779260,[2 1 4 7 3 9 0 8 5 6]
21,1801571,[4 9 6 3 1 0 5 8 7 2],547022,[1 5 6 4 8 3 7 2 0 9],1033997,[2 8 6 1 0 7 3 9 5 4],2898434,[7 9 8 0 4 5 1 3 2 6],690873,[1 9 2 0 6 4 5 7 8 3],1754591,[4 8 5 0 9 3 7 6 2 1],1968319,[5 3 8 4 7 6 1 0 9 2],351757,[0 9 6 7 4 2 5 1 8 3],3164526,[8 6 3 9 1 0 4 2 5 7],2333913,[6 3 9 0 5 2 4 7 8 1]
22,573976,[1 6 2 9 3 0 7 8 4 5],809612,[2 3 0 7 5 8 9 4 1 6],1866536,[5 1 3 4 6 7 2 8 0 9],2474413,[6 8 2 9 5 0 4 1 7 3],1746274,[4 8 2 5 3 1 6 9 0 7],1682693,[4 6 7 9 0 3 1 8 5 2],3479932,[9 5 2 4 1 6 0 8 3 7],2029916,[5 6 2 8 1 9 7 3 0 4],2962261,[8 1 4 7 2 5 6 0 9 3],1467933,[4 0 5 2 8 7 9 3 6 1]
23,537010,[1 5 3 6 9 0 4 8 2 7],1377439,[3 8 1 4 0 7 5 2 9 6],1903340,[5 2 1 7 6 0 9 4 3 8],768882,[2 1 0 6 9 4 8 3 5 7],2323115,[6 3 5 9 4 1 2 8 7 0],1245532,[3 4 9 0 8 5 1 7 2 6],2132258,[5 8 9 0 3 7 1 4 2 6],871349,[2 4 6 9 1 3 0 8 7 5],1560677,[4 2 7 6 5 8 0 9 3 1],2352086,[6 4 2 7 8 5 3 1 0 9]
24,1213394,[3 4 0 8 2 7 1 6 5 9],2641767,[7 2 5 1 0 8 6 4 9 3],3462725,[9 4 8 0 3 1 2 7 6 5],2581057,[7 1 0 2 8 9 3 4 6 5],2483251,[6 8 4 5 9 3 7 0 2 1],2142009,[5 9 1 0 2 3 6 7 8 4],2804010,[7 6 4 2 3 8 9 0 1 5],2375501,[6 4 9 2 1 8 0 7 5 3],2360853,[6 4 5 2 9 7 8 1 3 0],476550,[1 3 8 5 9 2 4 0 6 7]
25,478106,[1 3 8 9 0 4 2 6 5 7],2683708,[7 3 5 4 2 1 0 9 6 8],2470800,[6 8 2 1 7 0 3 4 5 9],1696907,[4 7 0 6 8 9 2 5 3 1],813623,[2 3 1 6 0 4 9 8 7 5],3123377,[8 5 3 7 0 1 6 9 4 2],3087278,[8 4 5 3 9 1 6 2 0 7],2381063,[6 5 0 4 1 2 9 8 7 3],3063290,[8 3 9 6 4 2 0 5 1 7],1644773,[4 5 8 2 3 6 0 9 7 1]
26,1960322,[5 3 6 9 7 0 1 4 2 8],2097959,[5 8 0 2 7 9 6 4 3 1],151917,[0 4 8 1 9 7 6 3 5 2],280212,[0 7 9 5 2 1 6 3 4 8],73406,[0 2 8 5 9 6 4 3 1 7],3570293,[9 7 4 2 6 3 0 8 5 1],3527450,[9 6 3 8 1 4 0 5 2 7],2488815,[6 8 5 7 4 0 3 2 9 1],1285564,[3 5 9 0 6 1 2 8 4 7],1520904,[4 1 7 8 3 2 0 5 6 9]
27,3560403,[9 7 2 4 0 1 3 6 8 5],2830026,[7 8 1 4 5 3 9 0 2 6],3012430,[8 2 6 5 9 3 7 4 0 1],121685,[0 4 1 3 2 5 6 9 8 7],882770,[2 4 9 1 0 6 3 7 5 8],1125279,[3 0 9 2 8 4 6 5 7 1],3109551,[8 5 0 9 6 7 3 2 4 1],1400808,[3 8 6 9 4 2 0 1 5 7],1961308,[5 3 7 1 0 4 2 9 6 8],3557782,[9 7 1 8 3 0 6 5 2 4]
28,3593804,[9 8 1 0 4 3 7 5 2 6],1849831,[5 0 9 1 3 4 6 2 8 7],2674170,[7 3 2 6 0 8 9 1 4 5],2432349,[6 7 2 5 1 4 9 3 8 0],1765132,[4 8 7 1 5 3 0 9 2 6],2381529,[6 5 0 4 8 1 3 7 9 2],3132920,[8 5 6 4 1 7 2 3 0 9],503594,[1 4 5 9 3 7 0 6 2 8],2329355,[6 3 8 1 2 4 5 9 7 0],188909,[0 5 7 4 3 2 1 9 8 6]
29,1857405,[5 1 0 6 8 3 9 4 7 2],3457936,[9 4 7 0 6 1 5 8 2 3],1237542,[3 4 7 5 8 9 1 0 2 6],2160143,[5 9 4 6 1 0 8 7 3 2],950561,[2 6 5 7 1 3 8 9 4 0],3325148,[9 1 4 7 2 5 8 3 0 6],2142928,[5 9 1 2 3 7 6 8 0 4],2593188,[7 1 3 5 6 9 4 0 2 8],206789,[0 6 2 1 4 5 3 9 8 7],960736,[2 6 8 5 3 0 7 9 1 4]
30,2507986,[6 9 1 5 2 8 3 7 0 4],1445658,[3 9 7 6 8 0 5 1 2 4],625491,[1 7 5 0 8 4 2 6 9 3],1720024,[4 7 6 1 9 3 5 8 0 2],2723169,[7 4 5 2 1 0 6 8 9 3],2759255,[7 5 3 4 1 8 9 6 2 0],1691769,[4 6 9 5 7 0 2 3 8 1],78652,[0 2 9 6 3 5 1 8 4 7],2210845,[6 0 8 5 4 7 3 1 9 2],1146249,[3 1 5 6 0 2 7 8 9 4]
31,839909,[2 3 8 6 5 1 0 9 7 4],2109211,[5 8 2 4 3 7 9 0 6 1],2104791,[5 8 1 6 2 9 4 3 7 0],69619,[0 2 7 8 6 1 9 3 5 4],2704444,[7 4 0 6 2 1 3 9 5 8],2749546,[7 5 1 4 8 9 2 6 0 3],729594,[2 0 1 8 4 9 7 3 5 6],1496422,[4 1 0 9 5 2 8 7 3 6],1516229,[4 1 6 8 9 2 0 7 5 3],3059539,[8 3 9 0 4 1 7 2 6 5]
32,2564681,[7 0 5 9 1 3 6 8 4 2],2928996,[8 0 6 2 1 4 7 3 5 9],3053238,[8 3 6 7 4 5 1 0 2 9],3199130,[8 7 2 6 1 4 0 5 3 9],2801533,[7 6 3 9 0 1 5 2 8 4],1632232,[4 5 3 8 9 7 2 6 0 1],3154865,[8 6 1 9 5 3 4 7 2 0],576005,[1 6 3 4 0 2 5 9 8 7],715134,[1 9 6 8 2 4 3 0 5 7],1560177,[4 2 7 5 9 3 1 6 8 0]
33,1241584,[3 4 8 2 5 6 7 9 0 1],1219016,[3 4 1 9 0 6 5 7 2 8],891462,[2 5 0 9 1 8 4 3 6 7],948725,[2 6 5 1 8 0 3 9 7 4],427450,[1 2 6 8 7 0 4 9 3 5],261940,[0 7 4 9 6 8 1 5 2 3],1002363,[2 7 8 9 1 0 3 5 6 4],3101300,[8 4 9 2 3 0 7 5 1 6],3154240,[8 6 1 7 9 2 4 5 0 3],603632,[1 6 9 7 3 2 4 5 0 8]
34,626842,[1 7 5 3 6 8 2 9 0 4],2154736,[5 9 3 4 7 0 6 8 1 2],2088175,[5 7 8 2 1 4 3 0 9 6],2659319,[7 2 9 5 3 8 6 4 1 0],1637062,[4 5 6 8 7 0 9 3 1 2],3038280,[8 3 2 7 9 0 1 4 5 6],3297848,[9 0 7 3 4 1 5 6 2 8],816075,[2 3 1 9 5 7 0 6 8 4],3140558,[8 5 9 0 7 2 4 3 1 6],3010086,[8 2 6 1 7 0 4 3 5 9]
35,1194184,[3 2 6 9 5 4 7 8 0 1],928509,[2 6 0 3 7 5 9 4 8 1],3197247,[8 7 2 3 5 6 4 1 9 0],942532,[2 6 4 0 1 7 3 9 5 8],2642839,[7 2 5 3 6 8 1 0 9 4],2092243,[5 7 9 0 8 2 6 1 4 3],1902414,[5 2 1 6 3 7 4 0 8 9],3245030,[8 9 3 6 7 5 2 1 0 4],3570527,[9 7 4 3 0 2 8 6 5 1],831054,[2 3 6 9 1 5 4 0 7 8]
36,1973318,[5 3 9 4 7 1 6 2 0 8],520075,[1 4 9 2 3 8 7 0 6 5],633426,[1 7 6 5 8 3 9 0 2 4],3546530,[9 6 8 4 5 2 0 3 1 7],2186415,[6 0 2 8 7 1 5 4 9 3],2680668,[7 3 4 9 0 8 5 1 2 6],2051029,[5 6 8 9 3 7 2 0 4 1],482553,[1 3 9 7 2 4 5 6 8 0],2204924,[6 0 7 4 3 2 9 5 1 8],1774296,[4 9 0 1 3 8 2 5 6 7]
37,1475049,[4 0 6 7 8 1 3 5 9 2],1670123,[4 6 3 2 7 8 1 9 5 0],290394,[0 8 2 6 3 9 7 1 4 5],2492207,[6 8 7 3 2 1 9 5 4 0],2335223,[6 3 9 2 4 0 8 7 5 1],3318639,[9 1 3 5 2 4 7 6 8 0],244609,[0 7 1 5 8 4 2 3 9 6],3619726,[9 8 6 1 3 2 7 5 0 4],1041258,[2 8 7 5 1 0 9 3 4 6],2423469,[6 7 0 8 9 3 5 2 4 1]
38,1328214,[3 6 9 4 7 2 1 0 5 8],1730842,[4 7 9 2 8 5 1 6 0 3],2699710,[7 3 9 5 4 2 8 6 0 1],317677,[0 8 9 1 3 4 6 2 7 5],3288032,[9 0 5 3 7 2 4 6 1 8],754095,[2 0 7 6 4 1 8 5 9 3],1644256,[4 5 8 1 7 0 6 9 2 3],2314009,[6 3 4 0 9 5 1 2 8 7],463609,[1 3 5 9 8 4 0 2 7 6],3510607,[9 6 0 4 8 1 3 2 7 5]
39,1167528,[3 1 9 6 5 4 0 2 7 8],3397461,[9 3 2 0 7 1 8 5 6 4],2675589,[7 3 2 9 0 5 8 4 6 1],120741,[0 3 9 8 6 1 7 4 5 2],228206,[0 6 7 2 9 5 4 3 1 8],1275381,[3 5 7 0 4 1 9 6 8 2],1570884,[4 2 9 6 7 5 3 0 1 8],2443138,[6 7 4 8 1 3 2 9 0 5],670777,[1 8 6 0 5 9 2 3 7 4],3403372,[9 3 4 1 8 5 0 7 2 6]
40,2781658,[7 5 9 8 2 3 1 6 0 4],2026407,[5 6 2 0 4 8 7 3 9 1],2041995,[5 6 7 1 0 8 2 4 9 3],2188585,[6 0 3 2 8 4 1 5 9 7],2013989,[5 4 9 6 1 2 0 8 7 3],2167639,[5 9 7 0 4 6 2 1 8 3],1872940,[5 1 4 7 2 9 0 8 3 6],3137618,[8 5 7 3 6 9 0 2 1 4],687184,[1 9 0 4 5 6 7 8 2 3],122410,[0 4 1 5 2 3 7 9 6 8]
41,2241364,[6 1 5 8 0 2 3 9 4 7],2946163,[8 1 0 5 9 3 7 2 6 4],2691142,[7 3 6 9 5 0 8 4 1 2],777749,[2 1 4 5 3 6 0 9 8 7],553614,[1 5 7 8 9 3 2 0 4 6],186818,[0 5 7 1 4 9 2 6 3 8],1949800,[5 3 2 9 0 4 7 8 1 6],163169,[0 5 1 4 7 8 6 9 3 2],3127639,[8 5 4 3 9 6 1 0 7 2],2672759,[7 3 2 4 0 9 8 6 5 1]
42,1471372,[4 0 5 9 6 3 1 8 2 7],723532,[1 9 8 4 7 3 0 6 2 5],536075,[1 5 3 4 7 2 6 9 8 0],677295,[1 8 7 3 6 0 5 4 9 2],2034503,[5 6 3 7 8 0 9 4 2 1],1857829,[5 1 0 7 3 9 6 2 8 4],1850561,[5 0 9 2 3 4 7 8 6 1],1959157,[5 3 6 8 0 2 7 1 9 4],3518460,[9 6 2 0 7 4 5 1 3 8],2939831,[8 0 9 3 1 5 7 6 4 2]
43,1281638,[3 5 8 2 0 4 7 6 1 9],1867200,[5 1 3 6 4 0 2 7 8 9],803200,[2 1 9 4 6 3 7 8 0 5],281049,[0 7 9 6 3 1 4 5 8 2],2436023,[6 7 3 2 4 0 9 8 5 1],557054,[1 5 8 4 7 0 6 3 2 9],2158310,[5 9 4 1 6 8 3 2 0 7],2897194,[7 9 6 5 8 1 2 4 0 3],2898737,[7 9 8 1 0 2 5 6 4 3],2366285,[6 4 7 3 5 0 1 9 8 2]
44,957628,[2 6 8 0 1 4 3 9 5 7],3289887,[9 0 5 7 2 6 4 3 8 1],3121023,[8 5 3 1 7 4 6 2 9 0],3526914,[9 6 3 7 2 8 5 0 1 4],586045,[1 6 5 2 9 7 4 0 8 3],318450,[0 8 9 2 3 6 7 1 4 5],3201788,[8 7 3 1 9 4 6 2 0 5],717319,[1 9 7 3 2 6 4 0 8 5],2597376,[7 1 4 3 5 9 0 2 6 8],1737796,[4 8 0 7 5 6 1 9 2 3]
45,526986,[1 5 0 6 9 4 8 2 3 7],155791,[0 4 8 9 3 2 5 1 7 6],2330244,[6 3 8 2 4 7 5 0 1 9],6761,[0 1 3 5 6 4 8 9 7 2],627811,[1 7 5 4 9 6 8 0 3 2],1664533,[4 6 2 1 9 0 7 3 8 5],3541083,[9 6 7 4 1 0 2 5 8 3],421584,[1 2 5 7 6 3 0 4 8 9],2419286,[6 7 0 1 2 8 5 4 3 9],1639440,[4 5 7 2 0 1 3 6 8 9]
46,31517,[0 1 8 3 7 6 2 9 5 4],3282367,[9 0 4 2 8 1 5 3 7 6],230955,[0 6 7 8 5 4 1 3 9 2],2000130,[5 4 6 8 9 3 7 0 1 2],2366676,[6 4 7 5 0 2 8 1 3 9],1162880,[3 1 8 7 0 6 4 5 2 9],316023,[0 8 7 5 9 3 4 2 6 1],2426313,[6 7 1 3 9 2 4 5 8 0],3162328,[8 6 3 4 0 7 5 9 1 2],1595430,[4 3 6 5 9 1 2 0 7 8]
47,2592118,[7 1 3 4 0 9 8 6 2 5],349178,[0 9 6 2 8 7 1 4 3 5],1896737,[5 2 0 4 6 1 8 9 7 3],1030682,[2 8 5 4 6 0 1 7 3 9],3047626,[8 3 5 6 7 9 1 4 0 2],408510,[1 2 3 0 6 5 7 4 8 9],2012841,[5 4 9 2 6 7 1 3 8 0],3084665,[8 4 5 0 2 6 7 9 3 1],1853751,[5 0 9 7 4 8 3 2 6 1],3514637,[9 6 1 3 4 7 0 8 5 2]
48,2476023,[6 8 3 1 9 4 5 2 7 0],1115892,[3 0 7 4 9 1 6 2 5 8],1154072,[3 1 6 9 8 2 4 5 0 7],3037885,[8 3 2 7 1 6 5 0 9 4],845698,[2 3 9 7 5 4 1 8 0 6],3055424,[8 3 7 1 5 9 2 4 0 6],1867052,[5 1 3 6 0 8 9 4 2 7],2227820,[6 1 3 0 4 2 9 7 5 8],2849661,[7 8 5 2 9 0 6 3 4 1],3495904,[9 5 6 4 2 3 7 8 0 1]
49,1855696,[5 1 0 3 6 2 8 9 4 7],1939099,[5 3 0 8 2 1 9 4 7 6],2344489,[6 4 1 2 3 7 0 5 9 8],1114758,[3 0 7 2 4 8 5 1 6 9],671536,[1 8 6 2 7 0 5 9 3 4],2063111,[5 7 1 3 4 6 9 8 2 0],3435428,[9 4 1 6 3 5 8 2 0 7],482726,[1 3 9 7 4 6 5 2 0 8],1082641,[2 9 7 6 5 0 1 3 8 4],3399161,[9 3 2 5 0 4 7 8 6 1]
50,267894,[0 7 6 2 1 5 4 3 8 9],3068423,[8 4 0 7 6 1 9 5 3 2],3283955,[9 0 4 6 1 3 5 8 7 2],1010410,[2 8 0 5 4 1 6 9 3 7],2776952,[7 5 8 9 6 1 2 3 0 4],2021261,[5 6 1 0 3 9 2 8 7 4],368048,[1 0 3 2 5 4 7 8 6 9],955945,[2 6 7 5 8 1 0 3 9 4],3055643,[8 3 7 1 9 5 2 6 4 0],1644532,[4 5 8 2 0 6 1 9 3 7]
51,2571797,[7 0 8 2 9 5 1 6 4 3],909997,[2 5 6 4 9 1 7 0 8 3],1495959,[4 1 0 8 7 3 6 5 9 2],1121194,[3 0 8 5 2 4 6 9 1 7],1152656,[3 1 6 7 9 4 2 5 0 8],2533363,[6 9 7 4 3 1 8 0 5 2],2711698,[7 4 2 0 3 6 5 9 1 8],3462926,[9 4 8 0 5 6 3 2 1 7],3404684,[9 3 4 5 7 1 8 2 0 6],221416,[0 6 4 9 5 1 7 8 2 3]
52,815057,[2 3 1 8 0 4 7 9 6 5],462515,[1 3 5 8 4 2 6 9 7 0],2432193,[6 7 2 5 0 3 4 8 9 1],3275032,[9 0 2 7 5 8 4 6 1 3],313145,[0 8 7 1 9 4 5 6 3 2],2370229,[6 4 8 1 9 7 3 0 5 2],2354035,[6 4 3 0 5 9 8 1 7 2],1930583,[5 2 9 0 4 1 8 7 6 3],471669,[1 3 7 6 0 5 9 4 8 2],317825,[0 8 9 1 4 5 6 7 3 2]
53,1428935,[3 9 4 5 6 7 8 2 1 0],1058783,[2 9 3 0 6 1 8 7 5 4],688652,[1 9 0 6 4 7 8 3 2 5],3299010,[9 0 7 4 8 5 6 1 2 3],3528177,[9 6 4 0 2 5 3 7 8 1],2673980,[7 3 2 5 9 0 8 4 1 6],2810614,[7 6 5 4 3 8 9 2 0 1],3543142,[9 6 8 0 1 2 7 5 3 4],2914388,[8 0 3 2 7 5 9 4 1 6],2108004,[5 8 2 1 7 6 4 0 3 9]
