40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
20,1845,[2 4 1 6 3 5 0],3377,[4 5 0 3 6 2 1],4353,[6 0 2 3 4 5 1],1805,[2 4 0 1 6 5 3]
21,216,[0 2 6 1 3 4 5],3659,[5 0 3 2 6 4 1],4060,[5 3 6 0 4 1 2],1408,[1 6 4 3 5 0 2]
22,1150,[1 4 3 6 5 0 2],3217,[4 2 6 0 1 5 3],3151,[4 2 1 3 0 6 5],925,[1 2 5 4 0 6 3]
23,606,[0 6 1 3 2 4 5],3285,[4 3 1 6 2 5 0],4317,[5 6 4 3 1 2 0],1197,[1 4 6 5 2 3 0]
24,1243,[1 5 2 6 0 4 3],3043,[4 1 2 6 0 5 3],3193,[4 2 5 0 1 6 3],134,[0 2 1 5 4 3 6]
25,840,[1 2 0 3 4 5 6],3875,[5 2 1 3 6 4 0],3833,[5 1 6 3 4 2 0],1682,[2 3 0 1 5 4 6]
26,923,[1 2 5 3 6 4 0],4571,[6 2 0 3 5 4 1],4855,[6 4 2 1 0 5 3],443,[0 4 5 2 6 3 1]
27,394,[0 4 2 3 6 1 5],3764,[5 1 2 6 3 0 4],4648,[6 2 4 3 5 0 1],1492,[2 0 4 1 6 3 5]
28,416,[0 4 3 2 5 1 6],2989,[4 0 6 3 1 5 2],3181,[4 2 3 5 0 6 1],602,[0 6 1 2 4 3 5]
29,2009,[2 5 4 3 6 1 0],4676,[6 2 5 4 1 0 3],3873,[5 2 1 3 4 6 0],202,[0 2 5 3 6 1 4]
30,1913,[2 4 6 3 5 1 0],4548,[6 1 5 3 0 2 4],4320,[6 0 1 2 3 4 5],492,[0 5 1 4 2 3 6]
31,1860,[2 4 3 5 0 1 6],4799,[6 3 5 4 2 1 0],4116,[5 4 1 3 0 2 6],1320,[1 6 0 2 3 4 5]
32,302,[0 3 4 5 2 1 6],4103,[5 4 0 6 3 2 1],3311,[4 3 2 6 5 1 0],1578,[2 1 0 6 3 4 5]
33,1451,[2 0 1 4 6 5 3],4608,[6 2 3 0 1 4 5],4853,[6 4 2 0 5 3 1],1332,[1 6 0 4 2 3 5]
34,1134,[1 4 3 2 0 5 6],4079,[5 3 6 4 2 1 0],3821,[5 1 6 0 4 3 2],1939,[2 5 0 6 1 4 3]
35,730,[1 0 2 4 6 3 5],4740,[6 3 2 4 0 1 5],4583,[6 2 0 5 4 3 1],1886,[2 4 5 3 1 0 6]
36,760,[1 0 3 5 6 2 4],3687,[5 0 4 3 2 6 1],3709,[5 0 6 3 1 4 2],555,[0 5 4 1 3 6 2]
37,95,[0 1 5 6 4 3 2],4112,[5 4 1 2 3 0 6],3670,[5 0 3 6 4 1 2],949,[1 2 6 4 0 5 3]
38,177,[0 2 4 3 5 6 1],4543,[6 1 5 2 0 4 3],3538,[4 6 2 1 5 0 3],647,[0 6 2 5 4 3 1]
39,600,[0 6 1 2 3 4 5],4051,[5 3 4 6 0 2 1],3780,[5 1 3 4 0 2 6],1441,[2 0 1 3 4 6 5]
40,826,[1 0 6 3 5 2 4],3038,[4 1 2 5 3 0 6],4142,[5 4 2 3 1 0 6],2034,[2 5 6 4 0 1 3]
41,24,[0 1 3 2 4 5 6],2983,[4 0 6 2 1 5 3],4930,[6 5 0 2 4 1 3],753,[1 0 3 4 5 6 2]
42,459,[0 4 6 1 3 5 2],4546,[6 1 5 2 4 0 3],4388,[6 0 3 5 2 1 4],837,[1 0 6 5 3 4 2]
43,138,[0 2 1 6 3 4 5],4358,[6 0 2 4 3 1 5],3810,[5 1 4 6 0 2 3],1221,[1 5 0 6 3 4 2]
44,366,[0 4 1 3 2 5 6],4932,[6 5 0 3 1 2 4],4813,[6 4 0 3 1 5 2],1105,[1 4 2 0 3 6 5]
45,358,[0 3 6 5 4 1 2],3438,[4 5 3 1 0 2 6],3095,[4 1 5 6 3 2 0],87,[0 1 5 4 3 6 2]
46,227,[0 2 6 3 5 4 1],4717,[6 3 1 4 0 5 2],4217,[5 6 0 3 4 2 1],1006,[1 3 2 6 5 0 4]
47,2018,[2 5 6 0 3 1 4],2996,[4 0 6 5 2 1 3],3130,[4 2 0 3 6 1 5],431,[0 4 3 6 5 2 1]
48,29,[0 1 3 2 6 5 4],4370,[6 0 3 1 4 2 5],4287,[5 6 3 2 1 4 0],214,[0 2 5 6 4 1 3]
49,1737,[2 3 4 1 5 6 0],4511,[6 1 3 5 4 2 0],4153,[5 4 3 0 1 6 2],225,[0 2 6 3 4 5 1]
50,530,[0 5 3 1 4 2 6],4763,[6 3 4 1 5 2 0],4997,[6 5 3 0 4 2 1],1345,[1 6 2 0 3 5 4]
51,628,[0 6 2 1 5 3 4],3411,[4 5 2 0 3 6 1],3621,[5 0 1 6 3 4 2],1229,[1 5 2 0 6 4 3]
52,954,[1 2 6 5 0 3 4],4673,[6 2 5 3 4 1 0],3358,[4 3 6 5 2 0 1],702,[0 6 5 2 1 3 4]
53,1254,[1 5 3 2 0 4 6],3429,[4 5 2 6 1 3 0],3853,[5 2 0 4 1 6 3],464,[0 4 6 2 3 1 5]
54,1349,[1 6 2 0 5 4 3],4569,[6 2 0 3 4 5 1],4223,[5 6 0 4 3 2 1],1576,[2 1 0 5 6 3 4]
55,446,[0 4 5 3 2 1 6],4171,[5 4 3 6 0 2 1],4782,[6 3 5 1 0 2 4],771,[1 0 4 2 5 6 3]
56,124,[0 2 1 3 6 4 5],4224,[5 6 1 0 2 3 4],4483,[6 1 2 5 0 4 3],1789,[2 3 6 4 0 5 1]
57,393,[0 4 2 3 5 6 1],4900,[6 4 5 0 3 1 2],4592,[6 2 1 3 4 0 5],741,[1 0 2 6 4 5 3]
58,530,[0 5 3 1 4 2 6],3258,[4 3 0 6 1 2 5],3573,[4 6 3 5 1 2 0],756,[1 0 3 5 2 4 6]
59,115,[0 1 6 5 2 4 3],3680,[5 0 4 2 3 1 6],4166,[5 4 3 2 1 0 6],843,[1 2 0 3 5 6 4]
60,551,[0 5 3 6 4 2 1],4709,[6 3 1 0 5 4 2],4339,[6 0 1 5 2 4 3],1440,[2 0 1 3 4 5 6]
61,511,[0 5 2 3 1 6 4],4706,[6 3 1 0 4 2 5],3390,[4 5 1 2 0 3 6],2008,[2 5 4 3 6 0 1]
62,608,[0 6 1 3 4 2 5],3900,[5 2 3 4 0 1 6],3059,[4 1 3 2 6 5 0],75,[0 1 5 2 4 6 3]
63,840,[1 2 0 3 4 5 6],4523,[6 1 4 2 5 3 0],3456,[4 5 6 0 1 2 3],1703,[2 3 0 6 5 4 1]
64,1977,[2 5 3 1 4 6 0],3786,[5 1 3 6 0 2 4],4969,[6 5 2 0 1 4 3],1873,[2 4 5 0 1 6 3]
65,454,[0 4 5 6 3 1 2],4391,[6 0 3 5 4 2 1],4039,[5 3 4 1 0 6 2],735,[1 0 2 5 4 6 3]
66,331,[0 3 5 6 1 4 2],4647,[6 2 4 3 1 5 0],3136,[4 2 0 5 6 1 3],445,[0 4 5 3 1 6 2]
67,1828,[2 4 1 0 6 3 5],3102,[4 1 6 2 0 3 5],4792,[6 3 5 2 4 0 1],744,[1 0 3 2 4 5 6]
68,329,[0 3 5 4 6 2 1],4137,[5 4 2 1 3 6 0],4946,[6 5 1 0 3 2 4],1751,[2 3 4 6 5 1 0]
69,489,[0 5 1 3 4 6 2],3621,[5 0 1 6 3 4 2],3037,[4 1 2 5 0 6 3],728,[1 0 2 4 5 3 6]
70,1434,[1 6 5 4 0 2 3],4547,[6 1 5 2 4 3 0],4539,[6 1 5 0 3 4 2],1979,[2 5 3 1 6 4 0]
71,1954,[2 5 1 3 6 0 4],3604,[5 0 1 2 6 3 4],4741,[6 3 2 4 0 5 1],1170,[1 4 5 6 0 2 3]
72,1241,[1 5 2 4 6 3 0],3407,[4 5 1 6 3 2 0],4983,[6 5 2 3 1 4 0],470,[0 4 6 3 2 1 5]
73,2003,[2 5 4 1 6 3 0],4450,[6 1 0 3 5 2 4],3927,[5 2 4 3 1 6 0],1142,[1 4 3 5 2 0 6]
74,581,[0 5 6 1 4 3 2],4133,[5 4 2 0 6 3 1],3620,[5 0 1 6 3 2 4],861,[1 2 0 6 4 5 3]
75,1827,[2 4 1 0 5 6 3],3314,[4 3 5 0 2 1 6],4449,[6 1 0 3 4 5 2],1113,[1 4 2 3 5 6 0]
76,1779,[2 3 6 0 4 5 1],4050,[5 3 4 6 0 1 2],4698,[6 3 0 5 1 2 4],632,[0 6 2 3 4 1 5]
77,1017,[1 3 4 2 5 6 0],3795,[5 1 4 0 3 6 2],4366,[6 0 2 5 4 1 3],1781,[2 3 6 0 5 4 1]
78,246,[0 3 1 4 2 5 6],3290,[4 3 2 0 5 1 6],4529,[6 1 4 3 5 2 0],154,[0 2 3 4 6 1 5]
79,890,[1 2 4 0 5 3 6],4541,[6 1 5 0 4 3 2],3107,[4 1 6 2 5 3 0],118,[0 1 6 5 4 2 3]
80,619,[0 6 1 5 2 4 3],4094,[5 4 0 3 2 1 6],4641,[6 2 4 1 3 5 0],737,[1 0 2 5 6 4 3]
81,928,[1 2 5 4 6 0 3],4495,[6 1 3 2 0 5 4],4733,[6 3 2 0 5 4 1],91,[0 1 5 6 2 4 3]
82,370,[0 4 1 3 6 2 5],4330,[6 0 1 3 5 2 4],3370,[4 5 0 2 6 1 3],1340,[1 6 0 5 3 2 4]
83,702,[0 6 5 2 1 3 4],3414,[4 5 2 1 0 3 6],4054,[5 3 4 6 2 0 1],438,[0 4 5 2 1 3 6]
84,1485,[2 0 3 6 4 5 1],4850,[6 4 2 0 3 1 5],3901,[5 2 3 4 0 6 1],935,[1 2 5 6 4 3 0]
85,1291,[1 5 4 6 0 3 2],4058,[5 3 6 0 2 1 4],3708,[5 0 6 3 1 2 4],1340,[1 6 0 5 3 2 4]
86,911,[1 2 4 6 5 3 0],3047,[4 1 2 6 5 3 0],3766,[5 1 2 6 4 0 3],680,[0 6 4 2 3 1 5]
87,1070,[1 3 6 4 2 0 5],3595,[4 6 5 3 0 2 1],4483,[6 1 2 5 0 4 3],1175,[1 4 5 6 3 2 0]
88,107,[0 1 6 3 5 4 2],4938,[6 5 0 4 1 2 3],3639,[5 0 2 4 3 6 1],1833,[2 4 1 3 5 6 0]
89,694,[0 6 4 5 3 1 2],4845,[6 4 1 5 2 3 0],4065,[5 3 6 1 2 4 0],1229,[1 5 2 0 6 4 3]
90,611,[0 6 1 3 5 4 2],3436,[4 5 3 0 6 1 2],3109,[4 1 6 3 0 5 2],158,[0 2 3 5 4 1 6]
91,372,[0 4 1 5 2 3 6],3723,[5 1 0 2 4 6 3],4143,[5 4 2 3 1 6 0],1892,[2 4 5 6 1 0 3]
92,1588,[2 1 3 0 6 4 5],3775,[5 1 3 2 0 6 4],3105,[4 1 6 2 3 5 0],255,[0 3 1 5 4 6 2]
93,68,[0 1 4 6 3 2 5],3784,[5 1 3 4 6 0 2],4397,[6 0 4 1 5 3 2],1881,[2 4 5 1 3 6 0]
94,55,[0 1 4 3 2 6 5],4278,[5 6 3 1 0 2 4],4467,[6 1 2 0 4 5 3],101,[0 1 6 2 5 4 3]
95,320,[0 3 5 2 4 1 6],3268,[4 3 1 0 6 2 5],3761,[5 1 2 4 6 3 0],76,[0 1 5 2 6 3 4]
96,1438,[1 6 5 4 3 0 2],4019,[5 3 2 1 6 4 0],4879,[6 4 3 1 0 5 2],725,[1 0 2 3 6 5 4]
97,1642,[2 1 5 3 6 0 4],4955,[6 5 1 2 4 3 0],3940,[5 2 6 0 4 1 3],1211,[1 5 0 3 6 4 2]
98,183,[0 2 4 5 3 6 1],3493,[4 6 0 3 1 5 2],3867,[5 2 1 0 4 6 3],1426,[1 6 5 2 4 0 3]
99,1934,[2 5 0 4 3 1 6],3462,[4 5 6 1 0 2 3],3783,[5 1 3 4 2 6 0],431,[0 4 3 6 5 2 1]
100,33,[0 1 3 4 5 6 2],3728,[5 1 0 3 4 2 6],4985,[6 5 2 3 4 1 0],1709,[2 3 1 0 6 5 4]
