100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
18,411,[0 4 3 1 5 6 2],4905,[6 4 5 1 2 3 0],3530,[4 6 2 0 3 1 5],4023,[5 3 2 4 1 6 0]
19,3183,[4 2 3 5 1 6 0],139,[0 2 1 6 3 5 4],395,[0 4 2 3 6 5 1],993,[1 3 2 4 5 6 0]
20,1023,[1 3 4 5 2 6 0],2850,[3 6 4 5 0 1 2],2285,[3 1 0 2 6 5 4],3565,[4 6 3 2 0 5 1]
21,3999,[5 3 1 4 2 6 0],4816,[6 4 0 3 5 1 2],2625,[3 4 6 1 2 5 0],430,[0 4 3 6 5 1 2]
22,3275,[4 3 1 2 6 5 0],3595,[4 6 5 3 0 2 1],3682,[5 0 4 2 6 1 3],5015,[6 5 3 4 2 1 0]
23,2398,[3 1 6 5 4 0 2],1993,[2 5 4 0 1 6 3],265,[0 3 2 1 4 6 5],2100,[2 6 3 4 0 1 5]
24,4143,[5 4 2 3 1 6 0],2373,[3 1 5 6 2 4 0],490,[0 5 1 3 6 2 4],2965,[4 0 5 3 1 6 2]
25,267,[0 3 2 1 5 6 4],135,[0 2 1 5 4 6 3],2154,[2 6 5 4 0 1 3],330,[0 3 5 6 1 2 4]
26,581,[0 5 6 1 4 3 2],899,[1 2 4 3 6 5 0],2901,[4 0 1 6 3 5 2],3138,[4 2 0 6 1 3 5]
27,4837,[6 4 1 3 0 5 2],2021,[2 5 6 0 4 3 1],3851,[5 2 0 3 6 4 1],182,[0 2 4 5 3 1 6]
28,3414,[4 5 2 1 0 3 6],3326,[4 3 5 2 1 0 6],4877,[6 4 3 0 5 2 1],3138,[4 2 0 6 1 3 5]
29,3250,[4 3 0 2 6 1 5],3228,[4 2 6 3 0 1 5],142,[0 2 1 6 5 3 4],618,[0 6 1 5 2 3 4]
30,1589,[2 1 3 0 6 5 4],1405,[1 6 4 3 0 5 2],1984,[2 5 3 4 6 0 1],4439,[6 0 5 4 3 2 1]
31,3723,[5 1 0 2 4 6 3],2037,[2 5 6 4 1 3 0],894,[1 2 4 3 0 5 6],1553,[2 0 6 4 5 3 1]
32,4385,[6 0 3 4 5 2 1],4060,[5 3 6 0 4 1 2],1746,[2 3 4 6 0 1 5],4954,[6 5 1 2 4 0 3]
33,4595,[6 2 1 3 5 4 0],1425,[1 6 5 2 3 4 0],2737,[3 5 6 0 1 4 2],4166,[5 4 3 2 1 0 6]
34,4183,[5 4 6 1 0 3 2],3190,[4 2 3 6 5 0 1],3073,[4 1 5 0 2 6 3],3338,[4 3 6 0 2 1 5]
35,3516,[4 6 1 3 0 2 5],3047,[4 1 2 6 5 3 0],4883,[6 4 3 1 5 2 0],3281,[4 3 1 5 6 2 0]
36,1246,[1 5 2 6 4 0 3],3919,[5 2 4 1 0 6 3],1545,[2 0 6 3 4 5 1],1793,[2 3 6 4 5 1 0]
37,3401,[4 5 1 3 6 2 0],31,[0 1 3 4 2 6 5],3524,[4 6 1 5 2 0 3],3673,[5 0 4 1 2 6 3]
38,432,[0 4 5 1 2 3 6],2832,[3 6 4 0 1 2 5],269,[0 3 2 1 6 5 4],2626,[3 4 6 1 5 0 2]
39,1782,[2 3 6 1 0 4 5],4832,[6 4 1 2 3 0 5],512,[0 5 2 3 4 1 6],825,[1 0 6 3 4 5 2]
40,2270,[3 0 6 4 2 1 5],2667,[3 5 1 0 4 6 2],1778,[2 3 6 0 4 1 5],48,[0 1 4 2 3 5 6]
41,3939,[5 2 6 0 3 4 1],4489,[6 1 3 0 2 5 4],4127,[5 4 1 6 3 2 0],1994,[2 5 4 0 3 1 6]
42,3964,[5 3 0 1 6 2 4],1532,[2 0 5 6 3 1 4],6,[0 1 2 4 3 5 6],3304,[4 3 2 5 6 0 1]
43,721,[1 0 2 3 4 6 5],3392,[4 5 1 2 3 0 6],4251,[5 6 2 0 3 4 1],3632,[5 0 2 3 4 1 6]
44,3446,[4 5 3 2 1 0 6],4109,[5 4 1 0 6 3 2],1587,[2 1 3 0 5 6 4],3723,[5 1 0 2 4 6 3]
45,3282,[4 3 1 6 0 2 5],5019,[6 5 4 0 2 3 1],326,[0 3 5 4 2 1 6],2150,[2 6 5 3 1 0 4]
46,4175,[5 4 3 6 2 1 0],4576,[6 2 0 4 5 1 3],2890,[4 0 1 3 6 2 5],2424,[3 2 1 0 4 5 6]
47,2030,[2 5 6 3 1 0 4],2375,[3 1 5 6 4 2 0],4690,[6 3 0 2 5 1 4],4792,[6 3 5 2 4 0 1]
48,4441,[6 1 0 2 3 5 4],1322,[1 6 0 2 4 3 5],2093,[2 6 3 0 5 4 1],2599,[3 4 5 1 0 6 2]
49,230,[0 2 6 4 3 1 5],2041,[2 6 0 1 3 5 4],4656,[6 2 5 0 1 3 4],2680,[3 5 1 4 6 0 2]
50,154,[0 2 3 4 6 1 5],1399,[1 6 4 2 0 5 3],3294,[4 3 2 1 0 5 6],1036,[1 3 5 0 6 2 4]
51,1763,[2 3 5 1 6 4 0],4404,[6 0 4 3 1 2 5],2310,[3 1 2 4 0 5 6],393,[0 4 2 3 5 6 1]
52,4458,[6 1 0 5 2 3 4],4991,[6 5 2 4 3 1 0],1434,[1 6 5 4 0 2 3],1653,[2 1 5 6 3 4 0]
53,1846,[2 4 1 6 5 0 3],1496,[2 0 4 3 5 1 6],912,[1 2 5 0 3 4 6],2421,[3 2 0 6 4 5 1]
54,4183,[5 4 6 1 0 3 2],4495,[6 1 3 2 0 5 4],3347,[4 3 6 1 5 2 0],2340,[3 1 4 5 0 2 6]
55,888,[1 2 4 0 3 5 6],4428,[6 0 5 3 1 2 4],2597,[3 4 5 0 6 2 1],1060,[1 3 6 0 5 2 4]
56,2632,[3 4 6 2 5 0 1],3728,[5 1 0 3 4 2 6],3117,[4 1 6 5 2 3 0],2645,[3 5 0 1 6 4 2]
57,3676,[5 0 4 1 6 2 3],1350,[1 6 2 3 0 4 5],2195,[3 0 2 4 6 5 1],88,[0 1 5 4 6 2 3]
58,4827,[6 4 1 0 3 5 2],2586,[3 4 2 6 0 1 5],2475,[3 2 5 0 4 6 1],1931,[2 5 0 3 6 4 1]
59,4783,[6 3 5 1 0 4 2],208,[0 2 5 4 6 1 3],3242,[4 3 0 1 5 2 6],324,[0 3 5 4 1 2 6]
60,2406,[3 2 0 4 1 5 6],854,[1 2 0 5 4 3 6],1988,[2 5 3 6 1 0 4],4106,[5 4 1 0 3 2 6]
61,1942,[2 5 0 6 4 1 3],2762,[3 6 0 1 4 2 5],1513,[2 0 5 1 3 6 4],1692,[2 3 0 5 1 4 6]
62,2866,[3 6 5 1 4 0 2],2886,[4 0 1 3 2 5 6],526,[0 5 2 6 4 1 3],1919,[2 4 6 5 3 1 0]
63,691,[0 6 4 5 1 3 2],3527,[4 6 1 5 3 2 0],957,[1 2 6 5 3 4 0],29,[0 1 3 2 6 5 4]
64,2765,[3 6 0 1 5 4 2],2801,[3 6 1 4 5 2 0],2140,[2 6 5 0 4 1 3],3774,[5 1 3 2 0 4 6]
65,3788,[5 1 3 6 2 0 4],528,[0 5 3 1 2 4 6],625,[0 6 2 1 3 5 4],1354,[1 6 2 3 5 0 4]
66,1942,[2 5 0 6 4 1 3],1378,[1 6 3 2 5 0 4],3191,[4 2 3 6 5 1 0],3664,[5 0 3 4 6 1 2]
67,303,[0 3 4 5 2 6 1],3740,[5 1 0 6 3 2 4],3852,[5 2 0 4 1 3 6],601,[0 6 1 2 3 5 4]
68,4951,[6 5 1 2 0 4 3],2928,[4 0 3 1 2 5 6],3992,[5 3 1 2 4 0 6],4137,[5 4 2 1 3 6 0]
69,1019,[1 3 4 2 6 5 0],2469,[3 2 4 6 1 5 0],3451,[4 5 3 6 0 2 1],1813,[2 4 0 5 1 6 3]
70,4665,[6 2 5 1 3 4 0],3669,[5 0 3 6 2 4 1],4787,[6 3 5 1 4 2 0],4801,[6 4 0 1 2 5 3]
71,1379,[1 6 3 2 5 4 0],2319,[3 1 2 5 4 6 0],1248,[1 5 3 0 2 4 6],2984,[4 0 6 2 3 1 5]
72,128,[0 2 1 4 5 3 6],2828,[3 6 2 5 1 0 4],2442,[3 2 1 6 0 4 5],4590,[6 2 1 3 0 4 5]
73,3354,[4 3 6 5 0 1 2],2953,[4 0 5 1 2 6 3],2361,[3 1 5 2 4 6 0],2701,[3 5 2 4 0 6 1]
74,912,[1 2 5 0 3 4 6],498,[0 5 1 6 2 3 4],4547,[6 1 5 2 4 3 0],4096,[5 4 0 3 6 1 2]
75,2125,[2 6 4 3 0 5 1],2299,[3 1 0 6 2 5 4],3198,[4 2 5 1 0 3 6],3411,[4 5 2 0 3 6 1]
76,471,[0 4 6 3 2 5 1],3323,[4 3 5 1 6 2 0],729,[1 0 2 4 5 6 3],3454,[4 5 3 6 2 0 1]
77,2553,[3 4 1 2 5 6 0],2823,[3 6 2 4 1 5 0],4471,[6 1 2 3 0 5 4],765,[1 0 3 6 4 5 2]
78,3992,[5 3 1 2 4 0 6],1061,[1 3 6 0 5 4 2],359,[0 3 6 5 4 2 1],782,[1 0 4 5 3 2 6]
79,860,[1 2 0 6 4 3 5],2351,[3 1 4 6 5 2 0],4877,[6 4 3 0 5 2 1],1333,[1 6 0 4 2 5 3]
80,1105,[1 4 2 0 3 6 5],3355,[4 3 6 5 0 2 1],4305,[5 6 4 1 2 3 0],4433,[6 0 5 3 4 2 1]
81,3592,[4 6 5 2 3 0 1],1549,[2 0 6 4 1 5 3],3251,[4 3 0 2 6 5 1],3386,[4 5 1 0 3 2 6]
82,111,[0 1 6 4 3 5 2],4342,[6 0 1 5 4 2 3],1757,[2 3 5 0 6 4 1],4407,[6 0 4 3 2 5 1]
83,3138,[4 2 0 6 1 3 5],684,[0 6 4 3 1 2 5],1459,[2 0 1 6 3 5 4],1690,[2 3 0 4 6 1 5]
84,2898,[4 0 1 6 2 3 5],1424,[1 6 5 2 3 0 4],3285,[4 3 1 6 2 5 0],1729,[2 3 4 0 1 6 5]
85,4866,[6 4 2 5 0 1 3],769,[1 0 4 2 3 6 5],4715,[6 3 1 2 5 4 0],2684,[3 5 1 6 2 0 4]
86,4305,[5 6 4 1 2 3 0],1987,[2 5 3 6 0 4 1],1141,[1 4 3 5 0 6 2],2048,[2 6 0 3 4 1 5]
87,2538,[3 4 0 6 1 2 5],494,[0 5 1 4 3 2 6],702,[0 6 5 2 1 3 4],2532,[3 4 0 5 1 2 6]
88,94,[0 1 5 6 4 2 3],880,[1 2 3 5 6 0 4],4431,[6 0 5 3 2 4 1],321,[0 3 5 2 4 6 1]
89,3295,[4 3 2 1 0 6 5],3803,[5 1 4 2 6 3 0],1204,[1 5 0 2 6 3 4],2251,[3 0 5 6 1 4 2]
90,883,[1 2 3 6 0 5 4],4360,[6 0 2 4 5 1 3],1765,[2 3 5 4 0 6 1],1511,[2 0 4 6 5 3 1]
91,2611,[3 4 5 6 0 2 1],781,[1 0 4 5 2 6 3],2981,[4 0 6 1 5 3 2],3336,[4 3 6 0 1 2 5]
92,3614,[5 0 1 4 3 2 6],471,[0 4 6 3 2 5 1],631,[0 6 2 3 1 5 4],3457,[4 5 6 0 1 3 2]
93,175,[0 2 4 3 1 6 5],608,[0 6 1 3 4 2 5],3209,[4 2 5 3 6 1 0],1345,[1 6 2 0 3 5 4]
94,4416,[6 0 5 1 2 3 4],364,[0 4 1 2 6 3 5],4220,[5 6 0 4 2 1 3],2256,[3 0 6 1 2 4 5]
95,178,[0 2 4 3 6 1 5],2930,[4 0 3 1 5 2 6],70,[0 1 4 6 5 2 3],504,[0 5 2 1 3 4 6]
96,1073,[1 3 6 4 5 2 0],4349,[6 0 2 1 5 4 3],2973,[4 0 5 6 2 3 1],4966,[6 5 1 4 3 0 2]
97,3272,[4 3 1 2 5 0 6],19,[0 1 2 6 3 5 4],729,[1 0 2 4 5 6 3],962,[1 3 0 2 5 4 6]
98,2997,[4 0 6 5 2 3 1],3168,[4 2 3 0 1 5 6],2111,[2 6 3 5 4 1 0],4899,[6 4 5 0 2 3 1]
99,4698,[6 3 0 5 1 2 4],1414,[1 6 4 5 3 0 2],4079,[5 3 6 4 2 1 0],2930,[4 0 3 1 5 2 6]
100,1339,[1 6 0 5 2 4 3],3371,[4 5 0 2 6 3 1],3204,[4 2 5 3 0 1 6],3527,[4 6 1 5 3 2 0]
1,3972,[5 3 0 4 1 2 6],2189,[3 0 2 1 6 5 4],4078,[5 3 6 4 2 0 1],1269,[1 5 3 6 2 4 0]
2,2120,[2 6 4 1 3 0 5],2472,[3 2 5 0 1 4 6],983,[1 3 0 6 5 4 2],1492,[2 0 4 1 6 3 5]
3,3421,[4 5 2 3 0 6 1],1879,[2 4 5 1 0 6 3],3683,[5 0 4 2 6 3 1],2265,[3 0 6 2 4 5 1]
4,651,[0 6 3 1 4 5 2],669,[0 6 3 5 2 4 1],4909,[6 4 5 2 0 3 1],2919,[4 0 2 5 3 6 1]
5,4013,[5 3 2 0 6 4 1],2106,[2 6 3 5 0 1 4],2862,[3 6 5 1 0 2 4],3167,[4 2 1 6 5 3 0]
6,1384,[1 6 3 4 5 0 2],4207,[5 6 0 2 1 4 3],4909,[6 4 5 2 0 3 1],2205,[3 0 2 6 4 5 1]
7,1104,[1 4 2 0 3 5 6],4918,[6 4 5 3 2 0 1],2926,[4 0 2 6 5 1 3],2834,[3 6 4 0 2 1 5]
8,934,[1 2 5 6 4 0 3],4042,[5 3 4 1 6 0 2],419,[0 4 3 2 6 5 1],3366,[4 5 0 2 1 3 6]
9,2057,[2 6 0 4 5 3 1],3768,[5 1 3 0 2 4 6],1532,[2 0 5 6 3 1 4],3969,[5 3 0 2 4 6 1]
10,853,[1 2 0 5 3 6 4],1920,[2 5 0 1 3 4 6],34,[0 1 3 4 6 2 5],2674,[3 5 1 2 6 0 4]
11,427,[0 4 3 6 1 5 2],3525,[4 6 1 5 2 3 0],3686,[5 0 4 3 2 1 6],885,[1 2 3 6 4 5 0]
12,4724,[6 3 1 5 2 0 4],4751,[6 3 2 5 4 1 0],806,[1 0 5 4 3 2 6],1454,[2 0 1 5 4 3 6]
13,3966,[5 3 0 2 1 4 6],4806,[6 4 0 2 1 3 5],2638,[3 4 6 5 2 0 1],4442,[6 1 0 2 4 3 5]
14,3678,[5 0 4 2 1 3 6],4503,[6 1 3 4 2 5 0],3978,[5 3 0 6 1 2 4],2430,[3 2 1 4 0 5 6]
15,3855,[5 2 0 4 3 6 1],2330,[3 1 4 0 5 2 6],3778,[5 1 3 2 6 0 4],1428,[1 6 5 3 0 2 4]
16,1547,[2 0 6 3 5 4 1],2063,[2 6 0 5 4 3 1],3450,[4 5 3 6 0 1 2],1058,[1 3 6 0 4 2 5]
17,4769,[6 3 4 2 5 1 0],186,[0 2 4 6 1 3 5],748,[1 0 3 2 6 4 5],4811,[6 4 0 2 5 3 1]
18,2834,[3 6 4 0 2 1 5],1100,[1 4 0 6 3 2 5],2478,[3 2 5 1 0 4 6],447,[0 4 5 3 2 6 1]
19,2939,[4 0 3 2 6 5 1],17,[0 1 2 5 6 4 3],2465,[3 2 4 5 6 1 0],1058,[1 3 6 0 4 2 5]
20,4523,[6 1 4 2 5 3 0],1566,[2 1 0 4 3 5 6],1165,[1 4 5 3 0 6 2],1454,[2 0 1 5 4 3 6]
21,4445,[6 1 0 2 5 4 3],4156,[5 4 3 0 6 1 2],2212,[3 0 4 1 6 2 5],1016,[1 3 4 2 5 0 6]
22,4831,[6 4 1 2 0 5 3],1431,[1 6 5 3 2 4 0],4462,[6 1 0 5 4 2 3],4760,[6 3 4 1 2 0 5]
23,1655,[2 1 5 6 4 3 0],1691,[2 3 0 4 6 5 1],3516,[4 6 1 3 0 2 5],262,[0 3 1 6 5 2 4]
24,371,[0 4 1 3 6 5 2],1788,[2 3 6 4 0 1 5],1686,[2 3 0 4 1 5 6],4738,[6 3 2 1 5 0 4]
25,2053,[2 6 0 4 1 5 3],1601,[2 1 3 5 6 4 0],1806,[2 4 0 3 1 5 6],682,[0 6 4 2 5 1 3]
26,2806,[3 6 1 5 4 0 2],3193,[4 2 5 0 1 6 3],4423,[6 0 5 2 1 4 3],4568,[6 2 0 3 4 1 5]
27,459,[0 4 6 1 3 5 2],205,[0 2 5 4 1 6 3],4273,[5 6 3 0 1 4 2],3787,[5 1 3 6 0 4 2]
28,3978,[5 3 0 6 1 2 4],573,[0 5 4 6 2 3 1],3182,[4 2 3 5 1 0 6],1703,[2 3 0 6 5 4 1]
29,584,[0 5 6 2 3 1 4],593,[0 5 6 3 4 2 1],2937,[4 0 3 2 5 6 1],2452,[3 2 4 0 6 1 5]
30,1052,[1 3 5 6 2 0 4],1607,[2 1 3 6 5 4 0],1455,[2 0 1 5 4 6 3],3486,[4 6 0 2 1 3 5]
31,1803,[2 4 0 1 5 6 3],2709,[3 5 2 6 1 4 0],2360,[3 1 5 2 4 0 6],2269,[3 0 6 4 1 5 2]
32,4597,[6 2 1 4 0 5 3],950,[1 2 6 4 3 0 5],2282,[3 1 0 2 5 4 6],623,[0 6 1 5 4 3 2]
33,4334,[6 0 1 4 3 2 5],2672,[3 5 1 2 4 0 6],7,[0 1 2 4 3 6 5],3476,[4 5 6 3 1 0 2]
34,4562,[6 2 0 1 4 3 5],682,[0 6 4 2 5 1 3],1454,[2 0 1 5 4 3 6],2328,[3 1 4 0 2 5 6]
35,2173,[3 0 1 5 2 6 4],507,[0 5 2 1 4 6 3],2553,[3 4 1 2 5 6 0],3555,[4 6 3 0 2 5 1]
36,1472,[2 0 3 4 5 1 6],2102,[2 6 3 4 1 0 5],3115,[4 1 6 5 0 3 2],2731,[3 5 4 6 0 2 1]
37,2014,[2 5 4 6 3 0 1],3195,[4 2 5 0 3 6 1],1327,[1 6 0 3 2 5 4],6,[0 1 2 4 3 5 6]
38,2486,[3 2 5 4 1 0 6],5026,[6 5 4 1 3 0 2],1257,[1 5 3 2 4 6 0],2578,[3 4 2 1 6 0 5]
39,3926,[5 2 4 3 1 0 6],2343,[3 1 4 5 2 6 0],4846,[6 4 1 5 3 0 2],2291,[3 1 0 4 6 5 2]
40,3482,[4 6 0 1 3 2 5],3090,[4 1 5 6 0 2 3],2654,[3 5 0 4 2 1 6],1668,[2 1 6 4 0 3 5]
41,3200,[4 2 5 1 3 0 6],1864,[2 4 3 5 6 0 1],4758,[6 3 4 1 0 2 5],2306,[3 1 2 0 5 4 6]
42,1604,[2 1 3 6 4 0 5],3530,[4 6 2 0 3 1 5],4282,[5 6 3 1 4 0 2],4207,[5 6 0 2 1 4 3]
43,3395,[4 5 1 2 6 3 0],3417,[4 5 2 1 3 6 0],3870,[5 2 1 3 0 4 6],2898,[4 0 1 6 2 3 5]
44,2442,[3 2 1 6 0 4 5],327,[0 3 5 4 2 6 1],3119,[4 1 6 5 3 2 0],4618,[6 2 3 1 5 0 4]
45,804,[1 0 5 4 2 3 6],2191,[3 0 2 4 1 6 5],2106,[2 6 3 5 0 1 4],4414,[6 0 4 5 3 1 2]
46,2928,[4 0 3 1 2 5 6],492,[0 5 1 4 2 3 6],3451,[4 5 3 6 0 2 1],2642,[3 5 0 1 4 2 6]
47,4689,[6 3 0 2 4 5 1],236,[0 2 6 5 3 1 4],4272,[5 6 3 0 1 2 4],4055,[5 3 4 6 2 1 0]
48,1693,[2 3 0 5 1 6 4],70,[0 1 4 6 5 2 3],1238,[1 5 2 4 3 0 6],3413,[4 5 2 0 6 3 1]
49,561,[0 5 4 2 3 6 1],1060,[1 3 6 0 5 2 4],3200,[4 2 5 1 3 0 6],610,[0 6 1 3 5 2 4]
50,3822,[5 1 6 2 0 3 4],4173,[5 4 3 6 1 2 0],2040,[2 6 0 1 3 4 5],1593,[2 1 3 4 5 6 0]
51,1344,[1 6 2 0 3 4 5],1515,[2 0 5 1 4 6 3],3513,[4 6 1 2 3 5 0],1993,[2 5 4 0 1 6 3]
52,68,[0 1 4 6 3 2 5],1945,[2 5 1 0 3 6 4],4686,[6 3 0 2 1 4 5],4525,[6 1 4 3 0 5 2]
53,449,[0 4 5 3 6 2 1],2866,[3 6 5 1 4 0 2],3564,[4 6 3 2 0 1 5],3810,[5 1 4 6 0 2 3]
54,331,[0 3 5 6 1 4 2],2873,[3 6 5 2 4 1 0],689,[0 6 4 3 5 2 1],2236,[3 0 5 1 6 2 4]
55,1935,[2 5 0 4 3 6 1],4256,[5 6 2 1 3 0 4],4656,[6 2 5 0 1 3 4],2395,[3 1 6 5 0 4 2]
56,4182,[5 4 6 1 0 2 3],4283,[5 6 3 1 4 2 0],2222,[3 0 4 5 2 1 6],988,[1 3 2 0 6 4 5]
57,42,[0 1 3 6 2 4 5],4259,[5 6 2 1 4 3 0],1997,[2 5 4 0 6 3 1],3810,[5 1 4 6 0 2 3]
58,3286,[4 3 1 6 5 0 2],4950,[6 5 1 2 0 3 4],3102,[4 1 6 2 0 3 5],2567,[3 4 1 6 5 2 0]
59,3638,[5 0 2 4 3 1 6],2094,[2 6 3 1 0 4 5],3479,[4 5 6 3 2 1 0],693,[0 6 4 5 2 3 1]
60,1206,[1 5 0 3 2 4 6],258,[0 3 1 6 2 4 5],1045,[1 3 5 4 0 6 2],3640,[5 0 2 4 6 1 3]
61,1337,[1 6 0 4 5 3 2],1639,[2 1 5 3 0 6 4],4784,[6 3 5 1 2 0 4],3458,[4 5 6 0 2 1 3]
62,2167,[3 0 1 4 2 6 5],560,[0 5 4 2 3 1 6],3365,[4 5 0 1 6 3 2],2389,[3 1 6 4 0 5 2]
63,157,[0 2 3 5 1 6 4],1416,[1 6 5 0 2 3 4],4964,[6 5 1 4 2 0 3],1234,[1 5 2 3 6 0 4]
64,1005,[1 3 2 6 4 5 0],675,[0 6 4 1 3 5 2],35,[0 1 3 4 6 5 2],1665,[2 1 6 3 4 5 0]
65,4090,[5 4 0 2 6 1 3],2237,[3 0 5 1 6 4 2],354,[0 3 6 5 1 2 4],1742,[2 3 4 5 1 0 6]
66,522,[0 5 2 6 1 3 4],1575,[2 1 0 5 4 6 3],3632,[5 0 2 3 4 1 6],4779,[6 3 5 0 2 4 1]
67,117,[0 1 6 5 3 4 2],4398,[6 0 4 2 1 3 5],715,[0 6 5 4 1 3 2],2258,[3 0 6 1 4 2 5]
68,4445,[6 1 0 2 5 4 3],562,[0 5 4 2 6 1 3],3751,[5 1 2 3 0 6 4],33,[0 1 3 4 5 6 2]
69,1505,[2 0 4 5 6 3 1],1041,[1 3 5 2 4 6 0],456,[0 4 6 1 2 3 5],3916,[5 2 4 0 6 1 3]
70,2382,[3 1 6 2 0 4 5],4813,[6 4 0 3 1 5 2],1345,[1 6 2 0 3 5 4],3028,[4 1 2 0 6 3 5]
71,4573,[6 2 0 4 1 5 3],217,[0 2 6 1 3 5 4],1101,[1 4 0 6 3 5 2],3989,[5 3 1 0 6 4 2]
72,2282,[3 1 0 2 5 4 6],172,[0 2 4 1 6 3 5],2055,[2 6 0 4 3 5 1],2232,[3 0 5 1 2 4 6]
73,3949,[5 2 6 3 0 4 1],1782,[2 3 6 1 0 4 5],2659,[3 5 0 6 1 4 2],4449,[6 1 0 3 4 5 2]
74,4498,[6 1 3 2 5 0 4],4959,[6 5 1 3 2 4 0],2901,[4 0 1 6 3 5 2],1538,[2 0 6 1 4 3 5]
75,1322,[1 6 0 2 4 3 5],2728,[3 5 4 2 6 0 1],2495,[3 2 5 6 4 1 0],3427,[4 5 2 6 0 3 1]
76,2841,[3 6 4 1 2 5 0],2399,[3 1 6 5 4 2 0],1501,[2 0 4 5 1 6 3],183,[0 2 4 5 3 6 1]
77,1435,[1 6 5 4 0 3 2],3217,[4 2 6 0 1 5 3],4686,[6 3 0 2 1 4 5],285,[0 3 2 6 4 5 1]
78,4253,[5 6 2 0 4 3 1],3677,[5 0 4 1 6 3 2],3607,[5 0 1 3 2 6 4],2308,[3 1 2 0 6 4 5]
79,4372,[6 0 3 1 5 2 4],2623,[3 4 6 1 0 5 2],4741,[6 3 2 4 0 5 1],1823,[2 4 0 6 5 3 1]
80,4166,[5 4 3 2 1 0 6],3931,[5 2 4 6 0 3 1],709,[0 6 5 3 1 4 2],3864,[5 2 1 0 3 4 6]
81,3158,[4 2 1 5 3 0 6],2621,[3 4 6 0 5 2 1],2739,[3 5 6 0 2 4 1],1634,[2 1 5 0 4 3 6]
82,3395,[4 5 1 2 6 3 0],4906,[6 4 5 1 3 0 2],4777,[6 3 5 0 1 4 2],1773,[2 3 5 6 1 4 0]
83,3416,[4 5 2 1 3 0 6],2538,[3 4 0 6 1 2 5],3225,[4 2 6 1 3 5 0],3948,[5 2 6 3 0 1 4]
84,1803,[2 4 0 1 5 6 3],3300,[4 3 2 5 0 1 6],152,[0 2 3 4 5 1 6],249,[0 3 1 4 5 6 2]
85,4748,[6 3 2 5 1 0 4],4949,[6 5 1 0 4 3 2],2714,[3 5 4 0 2 1 6],3331,[4 3 5 6 0 2 1]
