10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
18,927,[1 2 5 4 3 6 0],2975,[4 0 5 6 3 2 1],1592,[2 1 3 4 5 0 6],2275,[3 0 6 5 1 4 2]
19,955,[1 2 6 5 0 4 3],2866,[3 6 5 1 4 0 2],1844,[2 4 1 6 3 0 5],2007,[2 5 4 3 1 6 0]
20,806,[1 0 5 4 3 2 6],3206,[4 2 5 3 1 0 6],1808,[2 4 0 3 5 1 6],2213,[3 0 4 1 6 5 2]
21,631,[0 6 2 3 1 5 4],2956,[4 0 5 1 6 2 3],1523,[2 0 5 3 6 4 1],1938,[2 5 0 6 1 3 4]
22,498,[0 5 1 6 2 3 4],2877,[3 6 5 4 1 2 0],1828,[2 4 1 0 6 3 5],2315,[3 1 2 4 6 5 0]
23,533,[0 5 3 1 6 4 2],2847,[3 6 4 2 1 5 0],1939,[2 5 0 6 1 4 3],1967,[2 5 1 6 4 3 0]
24,715,[0 6 5 4 1 3 2],2763,[3 6 0 1 4 5 2],1816,[2 4 0 5 6 1 3],2304,[3 1 2 0 4 5 6]
25,591,[0 5 6 3 2 4 1],2766,[3 6 0 2 1 4 5],1732,[2 3 4 0 6 1 5],1936,[2 5 0 4 6 1 3]
26,918,[1 2 5 3 0 4 6],2902,[4 0 1 6 5 2 3],1754,[2 3 5 0 4 1 6],2258,[3 0 6 1 4 2 5]
27,624,[0 6 2 1 3 4 5],2838,[3 6 4 1 0 2 5],1542,[2 0 6 3 1 4 5],2093,[2 6 3 0 5 4 1]
28,935,[1 2 5 6 4 3 0],2770,[3 6 0 2 5 1 4],2007,[2 5 4 3 1 6 0],2132,[2 6 4 5 1 0 3]
29,879,[1 2 3 5 4 6 0],2999,[4 0 6 5 3 2 1],1587,[2 1 3 0 5 6 4],2037,[2 5 6 4 1 3 0]
30,789,[1 0 4 6 3 5 2],3141,[4 2 0 6 3 5 1],1750,[2 3 4 6 5 0 1],2044,[2 6 0 1 5 3 4]
31,543,[0 5 3 4 2 6 1],2938,[4 0 3 2 6 1 5],2003,[2 5 4 1 6 3 0],2425,[3 2 1 0 4 6 5]
32,697,[0 6 5 1 2 4 3],2818,[3 6 2 1 5 0 4],1795,[2 3 6 5 0 4 1],2123,[2 6 4 1 5 3 0]
33,785,[1 0 4 5 6 3 2],2777,[3 6 0 4 5 2 1],1994,[2 5 4 0 3 1 6],2192,[3 0 2 4 5 1 6]
34,944,[1 2 6 3 4 0 5],3007,[4 1 0 3 2 6 5],2016,[2 5 6 0 1 3 4],2050,[2 6 0 3 5 1 4]
35,496,[0 5 1 4 6 2 3],2769,[3 6 0 2 4 5 1],1701,[2 3 0 6 4 5 1],2080,[2 6 1 4 5 0 3]
36,866,[1 2 3 0 5 4 6],3059,[4 1 3 2 6 5 0],1755,[2 3 5 0 4 6 1],2403,[3 2 0 1 5 6 4]
37,890,[1 2 4 0 5 3 6],2880,[4 0 1 2 3 5 6],1526,[2 0 5 4 3 1 6],2357,[3 1 5 0 6 4 2]
38,956,[1 2 6 5 3 0 4],3065,[4 1 3 5 6 2 0],1929,[2 5 0 3 4 6 1],2430,[3 2 1 4 0 5 6]
39,525,[0 5 2 6 3 4 1],3184,[4 2 3 5 6 0 1],1944,[2 5 1 0 3 4 6],1936,[2 5 0 4 6 1 3]
40,660,[0 6 3 4 1 2 5],3049,[4 1 3 0 2 6 5],1784,[2 3 6 1 4 0 5],2100,[2 6 3 4 0 1 5]
41,630,[0 6 2 3 1 4 5],2897,[4 0 1 5 6 3 2],1692,[2 3 0 5 1 4 6],2214,[3 0 4 2 1 5 6]
42,745,[1 0 3 2 4 6 5],3036,[4 1 2 5 0 3 6],1819,[2 4 0 6 1 5 3],1959,[2 5 1 4 3 6 0]
43,734,[1 0 2 5 4 3 6],2813,[3 6 2 0 5 4 1],1579,[2 1 0 6 3 5 4],2036,[2 5 6 4 1 0 3]
44,810,[1 0 5 6 2 3 4],2859,[3 6 5 0 2 4 1],1556,[2 0 6 5 3 1 4],2331,[3 1 4 0 5 6 2]
45,800,[1 0 5 3 4 2 6],3103,[4 1 6 2 0 5 3],1949,[2 5 1 0 6 4 3],2127,[2 6 4 3 1 5 0]
46,813,[1 0 5 6 3 4 2],2959,[4 0 5 2 1 6 3],1546,[2 0 6 3 5 1 4],2026,[2 5 6 1 4 0 3]
47,800,[1 0 5 3 4 2 6],2775,[3 6 0 4 2 5 1],1877,[2 4 5 0 6 3 1],2203,[3 0 2 6 1 5 4]
48,889,[1 2 4 0 3 6 5],3080,[4 1 5 2 3 0 6],1639,[2 1 5 3 0 6 4],2106,[2 6 3 5 0 1 4]
49,590,[0 5 6 3 2 1 4],3119,[4 1 6 5 3 2 0],1560,[2 1 0 3 4 5 6],2173,[3 0 1 5 2 6 4]
50,943,[1 2 6 3 0 5 4],2950,[4 0 3 6 5 1 2],2007,[2 5 4 3 1 6 0],2161,[3 0 1 2 4 6 5]
51,697,[0 6 5 1 2 4 3],2835,[3 6 4 0 2 5 1],1980,[2 5 3 4 0 1 6],2151,[2 6 5 3 1 4 0]
52,650,[0 6 3 1 4 2 5],2773,[3 6 0 4 1 5 2],1697,[2 3 0 5 6 4 1],2125,[2 6 4 3 0 5 1]
53,821,[1 0 6 2 5 4 3],3093,[4 1 5 6 2 3 0],1842,[2 4 1 6 0 3 5],2097,[2 6 3 1 4 5 0]
54,602,[0 6 1 2 4 3 5],3225,[4 2 6 1 3 5 0],1755,[2 3 5 0 4 6 1],2198,[3 0 2 5 4 1 6]
55,560,[0 5 4 2 3 1 6],3052,[4 1 3 0 6 2 5],1741,[2 3 4 5 0 6 1],2083,[2 6 1 5 0 4 3]
56,892,[1 2 4 0 6 3 5],3104,[4 1 6 2 3 0 5],1704,[2 3 1 0 4 5 6],2008,[2 5 4 3 6 0 1]
57,473,[0 4 6 3 5 2 1],2919,[4 0 2 5 3 6 1],1724,[2 3 1 6 4 0 5],2166,[3 0 1 4 2 5 6]
58,457,[0 4 6 1 2 5 3],3058,[4 1 3 2 6 0 5],1892,[2 4 5 6 1 0 3],2242,[3 0 5 2 6 1 4]
59,668,[0 6 3 5 2 1 4],2778,[3 6 0 5 1 2 4],1742,[2 3 4 5 1 0 6],1978,[2 5 3 1 6 0 4]
60,855,[1 2 0 5 4 6 3],3082,[4 1 5 2 6 0 3],1798,[2 3 6 5 4 0 1],2078,[2 6 1 4 3 0 5]
61,891,[1 2 4 0 5 6 3],2943,[4 0 3 5 2 6 1],1834,[2 4 1 3 6 0 5],1975,[2 5 3 1 0 6 4]
62,872,[1 2 3 4 5 0 6],3013,[4 1 0 5 2 6 3],1680,[2 3 0 1 4 5 6],2139,[2 6 5 0 3 4 1]
63,946,[1 2 6 3 5 0 4],2986,[4 0 6 2 5 1 3],1958,[2 5 1 4 3 0 6],1989,[2 5 3 6 1 4 0]
64,708,[0 6 5 3 1 2 4],2970,[4 0 5 6 1 2 3],1927,[2 5 0 3 1 6 4],2124,[2 6 4 3 0 1 5]
65,832,[1 0 6 4 5 2 3],2894,[4 0 1 5 3 2 6],1598,[2 1 3 5 4 0 6],2323,[3 1 2 6 0 5 4]
66,905,[1 2 4 5 6 3 0],3221,[4 2 6 0 5 3 1],1517,[2 0 5 1 6 4 3],2389,[3 1 6 4 0 5 2]
67,787,[1 0 4 6 2 5 3],2963,[4 0 5 2 6 3 1],1563,[2 1 0 3 5 6 4],1993,[2 5 4 0 1 6 3]
68,514,[0 5 2 3 6 1 4],2909,[4 0 2 1 6 5 3],1967,[2 5 1 6 4 3 0],2347,[3 1 4 6 0 5 2]
69,796,[1 0 5 2 6 3 4],2847,[3 6 4 2 1 5 0],1881,[2 4 5 1 3 6 0],2070,[2 6 1 3 0 4 5]
70,588,[0 5 6 3 1 2 4],3172,[4 2 3 0 6 1 5],1755,[2 3 5 0 4 6 1],2376,[3 1 6 0 2 4 5]
71,502,[0 5 1 6 4 2 3],2974,[4 0 5 6 3 1 2],1581,[2 1 0 6 4 5 3],2236,[3 0 5 1 6 2 4]
72,931,[1 2 5 6 0 4 3],2792,[3 6 1 2 4 0 5],1752,[2 3 5 0 1 4 6],2237,[3 0 5 1 6 4 2]
73,885,[1 2 3 6 4 5 0],2932,[4 0 3 1 6 2 5],1519,[2 0 5 3 1 6 4],2017,[2 5 6 0 1 4 3]
74,755,[1 0 3 4 6 5 2],3059,[4 1 3 2 6 5 0],1620,[2 1 4 5 0 3 6],2055,[2 6 0 4 3 5 1]
75,632,[0 6 2 3 4 1 5],3077,[4 1 5 0 6 3 2],1565,[2 1 0 3 6 5 4],2436,[3 2 1 5 0 4 6]
76,845,[1 2 0 3 6 5 4],2765,[3 6 0 1 5 4 2],1867,[2 4 3 6 0 5 1],2126,[2 6 4 3 1 0 5]
77,690,[0 6 4 5 1 2 3],3162,[4 2 1 6 0 3 5],1727,[2 3 1 6 5 4 0],2204,[3 0 2 6 4 1 5]
78,683,[0 6 4 2 5 3 1],3013,[4 1 0 5 2 6 3],1814,[2 4 0 5 3 1 6],2218,[3 0 4 2 6 1 5]
79,874,[1 2 3 4 6 0 5],3108,[4 1 6 3 0 2 5],1883,[2 4 5 1 6 3 0],2283,[3 1 0 2 5 6 4]
80,738,[1 0 2 6 3 4 5],2832,[3 6 4 0 1 2 5],1595,[2 1 3 4 6 5 0],2057,[2 6 0 4 5 3 1]
81,573,[0 5 4 6 2 3 1],3100,[4 1 6 0 5 2 3],1893,[2 4 5 6 1 3 0],2093,[2 6 3 0 5 4 1]
82,694,[0 6 4 5 3 1 2],3056,[4 1 3 2 5 0 6],1583,[2 1 0 6 5 4 3],2135,[2 6 4 5 3 1 0]
83,800,[1 0 5 3 4 2 6],3086,[4 1 5 3 2 0 6],1887,[2 4 5 3 1 6 0],2212,[3 0 4 1 6 2 5]
84,896,[1 2 4 3 5 0 6],3178,[4 2 3 1 6 0 5],1578,[2 1 0 6 3 4 5],2318,[3 1 2 5 4 0 6]
85,548,[0 5 3 6 2 1 4],2797,[3 6 1 4 0 5 2],1786,[2 3 6 1 5 0 4],2322,[3 1 2 6 0 4 5]
86,853,[1 2 0 5 3 6 4],3062,[4 1 3 5 2 0 6],1817,[2 4 0 5 6 3 1],2403,[3 2 0 1 5 6 4]
87,835,[1 0 6 5 2 4 3],3063,[4 1 3 5 2 6 0],1970,[2 5 3 0 4 1 6],2411,[3 2 0 4 6 5 1]
88,638,[0 6 2 4 3 1 5],2776,[3 6 0 4 5 1 2],1750,[2 3 4 6 5 0 1],2430,[3 2 1 4 0 5 6]
89,840,[1 2 0 3 4 5 6],2832,[3 6 4 0 1 2 5],1786,[2 3 6 1 5 0 4],2114,[2 6 4 0 3 1 5]
90,534,[0 5 3 2 1 4 6],3101,[4 1 6 0 5 3 2],2014,[2 5 4 6 3 0 1],2365,[3 1 5 4 0 6 2]
91,832,[1 0 6 4 5 2 3],2796,[3 6 1 4 0 2 5],1649,[2 1 5 4 6 3 0],2169,[3 0 1 4 5 6 2]
92,841,[1 2 0 3 4 6 5],3037,[4 1 2 5 0 6 3],1791,[2 3 6 4 1 5 0],2033,[2 5 6 3 4 1 0]
93,744,[1 0 3 2 4 5 6],2930,[4 0 3 1 5 2 6],1698,[2 3 0 6 1 4 5],2260,[3 0 6 1 5 2 4]
94,630,[0 6 2 3 1 4 5],2923,[4 0 2 6 1 5 3],1535,[2 0 5 6 4 3 1],2005,[2 5 4 3 0 6 1]
95,728,[1 0 2 4 5 3 6],2782,[3 6 0 5 4 1 2],1966,[2 5 1 6 4 0 3],2311,[3 1 2 4 0 6 5]
96,718,[0 6 5 4 3 1 2],2909,[4 0 2 1 6 5 3],1668,[2 1 6 4 0 3 5],2205,[3 0 2 6 4 5 1]
97,758,[1 0 3 5 4 2 6],2752,[3 5 6 2 4 0 1],1878,[2 4 5 1 0 3 6],2118,[2 6 4 1 0 3 5]
98,480,[0 5 1 2 3 4 6],2868,[3 6 5 2 0 1 4],1702,[2 3 0 6 5 1 4],2060,[2 6 0 5 3 1 4]
99,938,[1 2 6 0 4 3 5],2991,[4 0 6 3 2 5 1],1638,[2 1 5 3 0 4 6],2139,[2 6 5 0 3 4 1]
100,855,[1 2 0 5 4 6 3],3109,[4 1 6 3 0 5 2],1786,[2 3 6 1 5 0 4],2080,[2 6 1 4 5 0 3]
