40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
49,1179,[1 4 6 0 3 5 2],1047,[1 3 5 4 2 6 0],1488,[2 0 4 1 3 5 6],1000,[1 3 2 5 6 0 4]
50,1397,[1 6 4 0 5 3 2],1512,[2 0 5 1 3 4 6],1100,[1 4 0 6 3 2 5],950,[1 2 6 4 3 0 5]
51,763,[1 0 3 6 2 5 4],1970,[2 5 3 0 4 1 6],694,[0 6 4 5 3 1 2],1756,[2 3 5 0 6 1 4]
52,1768,[2 3 5 4 6 0 1],996,[1 3 2 5 0 4 6],360,[0 4 1 2 3 5 6],709,[0 6 5 3 1 4 2]
53,1823,[2 4 0 6 5 3 1],688,[0 6 4 3 5 1 2],362,[0 4 1 2 5 3 6],1524,[2 0 5 4 1 3 6]
54,1039,[1 3 5 2 0 6 4],1128,[1 4 3 0 2 5 6],736,[1 0 2 5 6 3 4],213,[0 2 5 6 3 4 1]
55,1967,[2 5 1 6 4 3 0],1425,[1 6 5 2 3 4 0],656,[0 6 3 2 4 1 5],775,[1 0 4 3 2 6 5]
56,712,[0 6 5 3 4 1 2],1937,[2 5 0 4 6 3 1],467,[0 4 6 2 5 3 1],1115,[1 4 2 3 6 5 0]
57,1947,[2 5 1 0 4 6 3],1097,[1 4 0 5 6 3 2],1400,[1 6 4 2 3 0 5],2196,[3 0 2 5 1 4 6]
58,1419,[1 6 5 0 3 4 2],698,[0 6 5 1 3 2 4],1896,[2 4 6 0 1 3 5],1396,[1 6 4 0 5 2 3]
59,1302,[1 5 6 2 0 3 4],870,[1 2 3 4 0 5 6],419,[0 4 3 2 6 5 1],352,[0 3 6 4 5 1 2]
60,1882,[2 4 5 1 6 0 3],1434,[1 6 5 4 0 2 3],374,[0 4 1 5 3 2 6],1874,[2 4 5 0 3 1 6]
61,1843,[2 4 1 6 0 5 3],684,[0 6 4 3 1 2 5],708,[0 6 5 3 1 2 4],665,[0 6 3 4 5 2 1]
62,1904,[2 4 6 1 3 0 5],703,[0 6 5 2 1 4 3],1779,[2 3 6 0 4 5 1],1422,[1 6 5 2 0 3 4]
63,303,[0 3 4 5 2 6 1],363,[0 4 1 2 5 6 3],1557,[2 0 6 5 3 4 1],1305,[1 5 6 2 3 4 0]
64,94,[0 1 5 6 4 2 3],1185,[1 4 6 2 3 5 0],684,[0 6 4 3 1 2 5],1319,[1 5 6 4 3 2 0]
65,62,[0 1 4 5 3 2 6],2008,[2 5 4 3 6 0 1],1045,[1 3 5 4 0 6 2],200,[0 2 5 3 4 1 6]
66,1104,[1 4 2 0 3 5 6],378,[0 4 1 6 2 3 5],2010,[2 5 4 6 0 1 3],1549,[2 0 6 4 1 5 3]
67,690,[0 6 4 5 1 2 3],995,[1 3 2 4 6 5 0],561,[0 5 4 2 3 6 1],791,[1 0 4 6 5 3 2]
68,134,[0 2 1 5 4 3 6],363,[0 4 1 2 5 6 3],1389,[1 6 3 5 2 4 0],981,[1 3 0 6 4 5 2]
69,621,[0 6 1 5 3 4 2],565,[0 5 4 3 1 6 2],794,[1 0 5 2 4 3 6],502,[0 5 1 6 4 2 3]
70,903,[1 2 4 5 3 6 0],220,[0 2 6 1 5 3 4],360,[0 4 1 2 3 5 6],1746,[2 3 4 6 0 1 5]
71,190,[0 2 4 6 5 1 3],555,[0 5 4 1 3 6 2],645,[0 6 2 5 3 4 1],642,[0 6 2 5 1 3 4]
72,1866,[2 4 3 6 0 1 5],2064,[2 6 1 0 3 4 5],1769,[2 3 5 4 6 1 0],1028,[1 3 4 6 2 0 5]
73,364,[0 4 1 2 6 3 5],1909,[2 4 6 3 0 5 1],715,[0 6 5 4 1 3 2],200,[0 2 5 3 4 1 6]
74,237,[0 2 6 5 3 4 1],2071,[2 6 1 3 0 5 4],1752,[2 3 5 0 1 4 6],1399,[1 6 4 2 0 5 3]
75,463,[0 4 6 2 1 5 3],1833,[2 4 1 3 5 6 0],1577,[2 1 0 5 6 4 3],991,[1 3 2 4 0 6 5]
76,1490,[2 0 4 1 5 3 6],841,[1 2 0 3 4 6 5],685,[0 6 4 3 1 5 2],234,[0 2 6 5 1 3 4]
77,2006,[2 5 4 3 1 0 6],545,[0 5 3 4 6 2 1],1257,[1 5 3 2 4 6 0],776,[1 0 4 3 5 2 6]
78,675,[0 6 4 1 3 5 2],1435,[1 6 5 4 0 3 2],884,[1 2 3 6 4 0 5],498,[0 5 1 6 2 3 4]
79,1295,[1 5 4 6 3 2 0],181,[0 2 4 5 1 6 3],258,[0 3 1 6 2 4 5],1095,[1 4 0 5 3 6 2]
80,492,[0 5 1 4 2 3 6],2040,[2 6 0 1 3 4 5],466,[0 4 6 2 5 1 3],969,[1 3 0 4 5 6 2]
81,1729,[2 3 4 0 1 6 5],1354,[1 6 2 3 5 0 4],764,[1 0 3 6 4 2 5],2104,[2 6 3 4 5 0 1]
82,700,[0 6 5 1 4 2 3],982,[1 3 0 6 5 2 4],1296,[1 5 6 0 2 3 4],1680,[2 3 0 1 4 5 6]
83,630,[0 6 2 3 1 4 5],1215,[1 5 0 4 3 6 2],763,[1 0 3 6 2 5 4],1538,[2 0 6 1 4 3 5]
84,178,[0 2 4 3 6 1 5],368,[0 4 1 3 5 2 6],1395,[1 6 4 0 3 5 2],202,[0 2 5 3 6 1 4]
85,350,[0 3 6 4 2 1 5],946,[1 2 6 3 5 0 4],1832,[2 4 1 3 5 0 6],324,[0 3 5 4 1 2 6]
86,1298,[1 5 6 0 3 2 4],1738,[2 3 4 1 6 0 5],1340,[1 6 0 5 3 2 4],384,[0 4 2 1 3 5 6]
87,506,[0 5 2 1 4 3 6],934,[1 2 5 6 4 0 3],1276,[1 5 4 0 6 2 3],791,[1 0 4 6 5 3 2]
88,1204,[1 5 0 2 6 3 4],1613,[2 1 4 0 6 5 3],623,[0 6 1 5 4 3 2],1303,[1 5 6 2 0 4 3]
89,1545,[2 0 6 3 4 5 1],1260,[1 5 3 4 0 2 6],142,[0 2 1 6 5 3 4],454,[0 4 5 6 3 1 2]
90,72,[0 1 5 2 3 4 6],1987,[2 5 3 6 0 4 1],1941,[2 5 0 6 3 4 1],2067,[2 6 1 0 4 5 3]
91,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
92,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
93,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
94,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
95,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
96,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
97,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
98,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
99,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
100,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
