10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
9,188165,[0 5 7 3 4 1 2 9 8 6],158602,[0 4 9 5 2 7 3 8 1 6],530985,[1 5 2 4 6 9 3 7 8 0],623885,[1 7 4 8 5 0 2 9 6 3],1293507,[3 6 0 7 5 2 1 8 9 4]
10,245770,[0 7 1 8 4 2 5 9 3 6],478837,[1 3 9 0 2 5 7 4 8 6],447267,[1 3 0 8 4 5 2 7 9 6],341681,[0 9 4 7 5 2 6 8 3 1],1347377,[3 7 4 2 5 0 8 9 6 1]
11,182493,[0 5 6 2 4 8 9 3 7 1],348978,[0 9 6 2 7 1 8 3 4 5],482352,[1 3 9 6 8 5 0 2 4 7],298927,[0 8 4 3 2 1 6 5 9 7],1236611,[3 4 7 2 6 0 5 9 8 1]
12,332503,[0 9 2 8 6 7 3 1 5 4],278319,[0 7 9 2 5 3 6 4 8 1],675415,[1 8 7 0 2 5 4 3 9 6],479565,[1 3 9 2 0 5 8 6 7 4],1367501,[3 7 9 2 1 8 0 6 5 4]
13,270588,[0 7 6 5 8 9 3 1 2 4],273091,[0 7 8 2 3 6 9 1 5 4],552954,[1 5 7 6 9 8 4 0 2 3],527830,[1 5 0 8 2 6 9 7 3 4],1272951,[3 5 6 4 9 8 2 1 7 0]
14,329649,[0 9 2 4 8 1 5 6 7 3],174534,[0 5 3 7 4 6 2 1 8 9],441461,[1 2 9 6 0 8 3 7 5 4],578344,[1 6 3 8 2 5 7 9 0 4],1075581,[2 9 6 3 8 0 7 4 5 1]
15,266080,[0 7 5 8 4 2 6 9 1 3],150350,[0 4 7 8 6 9 3 2 1 5],598393,[1 6 8 7 0 5 2 3 9 4],459850,[1 3 5 2 8 0 6 9 4 7],1192797,[3 2 6 7 5 9 8 1 4 0]
16,280943,[0 7 9 6 2 1 8 5 4 3],184905,[0 5 6 7 8 9 2 3 4 1],584688,[1 6 5 0 2 7 3 4 8 9],647580,[1 8 0 5 4 6 7 2 3 9],1026264,[2 8 4 6 3 1 0 5 7 9]
17,252153,[0 7 3 1 4 5 6 8 9 2],347402,[0 9 5 8 4 1 2 6 3 7],519450,[1 4 9 0 5 7 8 2 3 6],516466,[1 4 8 5 2 9 3 7 0 6],1316602,[3 6 7 1 5 8 2 9 0 4]
18,153743,[0 4 8 5 6 1 9 7 3 2],179036,[0 5 4 6 7 9 8 2 1 3],774685,[2 1 3 7 9 6 5 0 8 4],603066,[1 6 9 5 4 3 8 0 2 7],1326617,[3 6 9 1 5 0 7 8 4 2]
19,170995,[0 5 2 9 4 8 7 1 6 3],246384,[0 7 1 9 3 4 2 5 6 8],766465,[2 1 0 3 7 5 4 6 9 8],586462,[1 6 5 3 7 0 9 8 2 4],1151067,[3 1 6 4 8 2 0 7 9 5]
20,289904,[0 8 2 5 6 9 3 4 1 7],413733,[1 2 4 0 7 8 9 5 6 3],766946,[2 1 0 4 5 6 3 8 7 9],436629,[1 2 8 6 4 5 9 3 7 0],1046671,[2 8 9 5 6 1 3 0 7 4]
21,405385,[1 2 0 6 3 5 4 7 9 8],303574,[0 8 5 2 6 7 9 4 1 3],455182,[1 3 4 5 2 0 9 8 6 7],569950,[1 6 2 0 7 5 9 8 3 4],1354294,[3 7 5 6 9 4 8 2 0 1]
22,180633,[0 5 4 8 9 2 3 6 7 1],458173,[1 3 4 9 5 0 7 2 8 6],616218,[1 7 3 2 9 0 8 4 5 6],298631,[0 8 4 2 7 5 9 6 3 1],1337515,[3 7 1 4 6 9 8 0 5 2]
23,135061,[0 4 3 8 6 5 7 1 9 2],476663,[1 3 8 6 0 2 9 7 5 4],506322,[1 4 6 5 2 3 9 0 7 8],513524,[1 4 7 9 2 3 8 5 0 6],1010827,[2 8 0 5 9 4 7 1 6 3]
24,388307,[1 0 7 2 4 9 5 8 6 3],166762,[0 5 2 1 7 8 4 9 3 6],739726,[2 0 4 8 5 3 9 7 1 6],408553,[1 2 3 0 6 8 4 5 9 7],1279775,[3 5 7 9 2 6 8 4 1 0]
25,383530,[1 0 6 2 8 3 5 9 4 7],311340,[0 8 6 7 3 4 5 1 2 9],615259,[1 7 3 0 6 2 9 4 8 5],366203,[1 0 2 7 6 8 4 9 5 3],1256373,[3 5 1 2 9 7 8 4 6 0]
26,150319,[0 4 7 8 6 5 2 1 9 3],457094,[1 3 4 7 9 0 6 5 2 8],676189,[1 8 7 2 0 9 5 3 6 4],560055,[1 5 9 0 8 2 6 4 7 3],1074457,[2 9 6 1 3 8 0 4 7 5]
27,151404,[0 4 8 1 3 7 6 2 5 9],360800,[0 9 8 5 1 6 3 4 2 7],744090,[2 0 5 7 4 8 9 1 3 6],598502,[1 6 8 7 2 4 5 3 0 9],1151734,[3 1 6 5 7 8 9 4 0 2]
28,307472,[0 8 6 1 2 4 5 7 3 9],182112,[0 5 6 1 9 7 2 3 4 8],744899,[2 0 5 8 6 4 3 9 7 1],524878,[1 5 0 2 9 8 7 6 3 4],1323450,[3 6 8 5 0 7 9 1 2 4]
29,121863,[0 4 1 3 5 7 8 6 9 2],364091,[1 0 2 4 8 3 6 9 7 5],673936,[1 8 6 7 0 2 5 9 3 4],640194,[1 7 9 0 2 8 6 3 4 5],1150466,[3 1 6 2 9 4 0 7 5 8]
30,201222,[0 5 9 8 3 7 2 1 4 6],348307,[0 9 6 1 7 4 8 2 5 3],666192,[1 8 5 2 3 7 0 4 6 9],319601,[0 8 9 3 7 2 5 6 4 1],1194110,[3 2 6 9 4 8 5 1 0 7]
31,375575,[1 0 4 6 7 8 9 5 3 2],255041,[0 7 3 6 2 4 8 9 5 1],598169,[1 6 8 5 7 4 3 9 2 0],432736,[1 2 7 9 0 3 6 8 4 5],1123702,[3 0 8 9 6 1 7 5 2 4]
32,457442,[1 3 4 8 5 0 2 7 6 9],290638,[0 8 2 6 5 9 7 4 1 3],500695,[1 4 5 3 6 7 2 0 9 8],621699,[1 7 4 3 5 9 0 6 8 2],1203098,[3 2 8 6 9 7 0 4 1 5]
33,347772,[0 9 6 1 2 3 7 4 5 8],395761,[1 0 8 5 7 2 3 4 9 6],684528,[1 8 9 6 5 3 0 2 4 7],463995,[1 3 6 0 5 8 2 7 9 4],1301493,[3 6 2 1 7 8 9 4 5 0]
34,134317,[0 4 3 7 6 2 8 1 9 5],456817,[1 3 4 7 5 9 0 2 8 6],600953,[1 6 9 2 5 8 4 7 3 0],440709,[1 2 9 5 0 6 8 4 7 3],1167306,[3 1 9 6 2 5 8 0 4 7]
35,193178,[0 5 8 3 2 9 1 6 4 7],296452,[0 8 3 7 6 4 1 9 2 5],618202,[1 7 3 6 5 8 2 9 0 4],296077,[0 8 3 7 2 4 6 1 9 5],1194323,[3 2 6 9 7 5 1 8 4 0]
36,352941,[0 9 7 1 3 2 8 5 6 4],288473,[0 8 2 3 6 9 5 7 4 1],473539,[1 3 7 9 6 0 8 2 5 4],405784,[1 2 0 6 7 5 8 9 3 4],1325103,[3 6 8 9 2 4 5 1 7 0]
37,193809,[0 5 8 4 2 1 6 7 9 3],152088,[0 4 8 2 3 6 1 5 7 9],493298,[1 4 2 9 0 8 3 6 5 7],381676,[1 0 5 8 2 7 3 9 4 6],1349276,[3 7 4 6 9 8 5 1 0 2]
38,207249,[0 6 2 1 9 3 5 7 8 4],290976,[0 8 2 7 1 9 3 4 5 6],548306,[1 5 6 8 4 2 0 7 3 9],389712,[1 0 7 4 3 8 2 5 6 9],1228228,[3 4 5 7 9 1 0 8 2 6]
39,459559,[1 3 5 2 4 8 6 0 9 7],212644,[0 6 3 2 5 1 4 9 7 8],677988,[1 8 7 4 5 9 3 0 2 6],563832,[1 5 9 8 0 6 2 3 4 7],1214630,[3 4 0 9 8 7 5 2 1 6]
40,410334,[1 2 3 5 9 6 4 0 7 8],274643,[0 7 8 4 3 6 2 9 5 1],486358,[1 4 0 6 5 9 8 7 2 3],396511,[1 0 8 6 7 3 4 2 9 5],1259865,[3 5 1 9 7 8 2 4 6 0]
41,313553,[0 8 7 2 4 9 5 6 3 1],128305,[0 4 2 6 3 5 1 7 9 8],705106,[1 9 4 8 2 7 3 6 0 5],377303,[1 0 4 9 2 3 8 7 6 5],1138639,[3 1 2 9 5 7 4 0 8 6]
42,132993,[0 4 3 5 8 2 6 7 9 1],468761,[1 3 7 0 2 5 8 9 6 4],747442,[2 0 6 4 1 8 5 9 3 7],644834,[1 7 9 8 4 5 0 3 2 6],1273494,[3 5 6 7 8 2 1 0 4 9]
43,453968,[1 3 4 0 7 2 6 8 5 9],151917,[0 4 8 1 9 7 6 3 5 2],786475,[2 1 6 0 4 9 8 3 7 5],506677,[1 4 6 5 8 2 7 0 9 3],1141344,[3 1 4 6 2 5 0 7 8 9]
44,272716,[0 7 8 1 6 5 2 9 3 4],144982,[0 4 6 8 3 1 9 7 2 5],734400,[2 0 3 8 1 4 5 6 7 9],485397,[1 4 0 5 2 9 8 6 7 3],1269440,[3 5 4 9 0 7 2 6 1 8]
45,235065,[0 6 8 5 3 9 2 4 7 1],320017,[0 8 9 4 3 7 1 2 6 5],657014,[1 8 3 4 6 0 7 5 2 9],513300,[1 4 7 8 9 3 5 0 2 6],1124740,[3 0 9 2 1 8 4 7 5 6]
46,472779,[1 3 7 8 5 9 0 4 6 2],392362,[1 0 7 8 9 5 3 6 2 4],555219,[1 5 8 2 0 9 3 6 7 4],416038,[1 2 4 6 8 9 7 5 0 3],1204987,[3 2 9 0 6 5 8 1 7 4]
47,369836,[1 0 3 5 7 9 8 4 2 6],442269,[1 2 9 7 3 5 8 4 6 0],628403,[1 7 5 6 8 4 2 9 3 0],464009,[1 3 6 0 5 8 7 9 4 2],1368696,[3 7 9 4 8 6 0 1 2 5]
48,432882,[1 2 7 9 3 4 8 0 5 6],464946,[1 3 6 2 8 5 9 0 4 7],753144,[2 0 7 5 1 4 3 6 8 9],485441,[1 4 0 5 3 6 8 9 7 2],1188433,[3 2 5 8 6 7 0 1 9 4]
49,154874,[0 4 8 7 1 6 2 5 3 9],392810,[1 0 7 9 5 4 2 6 3 8],745490,[2 0 5 9 4 6 1 7 3 8],496478,[1 4 3 6 7 2 8 5 0 9],1153328,[3 1 6 8 9 0 4 5 2 7]
50,477921,[1 3 8 7 6 5 2 4 9 0],467632,[1 3 6 8 4 9 5 7 0 2],510376,[1 4 7 2 9 0 6 8 3 5],519646,[1 4 9 0 7 3 8 6 2 5],1029894,[2 8 5 3 4 6 1 0 7 9]
51,407558,[1 2 0 9 3 5 7 6 4 8],309115,[0 8 6 3 2 9 7 1 5 4],476380,[1 3 8 5 6 9 0 7 2 4],484977,[1 4 0 3 7 6 5 8 9 2],1158781,[3 1 7 9 4 5 6 0 8 2]
52,261975,[0 7 4 9 8 1 5 3 6 2],275255,[0 7 8 5 2 6 9 4 3 1],465972,[1 3 6 5 2 0 8 4 7 9],514895,[1 4 8 2 0 7 9 6 5 3],1281559,[3 5 8 1 9 6 2 0 7 4]
53,329481,[0 9 2 4 6 7 3 5 8 1],136117,[0 4 5 1 2 6 8 3 9 7],664437,[1 8 4 7 6 9 5 2 3 0],461740,[1 3 5 7 2 9 0 8 4 6],1104347,[3 0 5 1 8 9 4 7 6 2]
54,290186,[0 8 2 6 1 4 3 7 5 9],461123,[1 3 5 6 4 8 2 9 7 0],525600,[1 5 0 4 2 3 6 7 8 9],429485,[1 2 7 3 6 0 4 9 8 5],1044725,[2 8 9 3 0 1 4 7 6 5]
55,277961,[0 7 9 2 1 4 6 8 5 3],459640,[1 3 5 2 6 4 8 9 0 7],705775,[1 9 5 0 3 6 4 2 8 7],329831,[0 9 2 5 1 6 8 7 4 3],1334714,[3 7 0 8 6 5 1 4 2 9]
56,402418,[1 0 9 7 8 4 3 6 2 5],142887,[0 4 6 3 5 8 7 2 9 1],619534,[1 7 3 9 4 6 8 5 0 2],563695,[1 5 9 7 8 3 2 0 6 4],1331607,[3 7 0 2 5 8 6 4 9 1]
57,202823,[0 6 1 3 8 2 9 7 5 4],397112,[1 0 8 7 5 3 4 6 2 9],548492,[1 5 6 8 7 4 9 2 0 3],332679,[0 9 3 1 2 5 7 6 8 4],1118390,[3 0 7 9 2 8 5 4 1 6]
58,389938,[1 0 7 4 6 5 3 9 2 8],216771,[0 6 4 1 2 7 3 8 9 5],678267,[1 8 7 5 0 3 2 6 9 4],382580,[1 0 5 9 4 2 8 6 3 7],1365632,[3 7 8 9 5 1 2 4 0 6]
59,328467,[0 9 2 3 4 5 1 7 8 6],382401,[1 0 5 9 2 7 4 6 8 3],788800,[2 1 6 5 7 3 8 9 0 4],602980,[1 6 9 5 3 8 0 7 2 4],1035830,[2 8 6 4 5 9 3 1 0 7]
60,164928,[0 5 1 8 2 6 3 4 7 9],259381,[0 7 4 5 2 6 8 1 9 3],657798,[1 8 3 5 6 7 2 0 4 9],400413,[1 0 9 5 2 7 8 4 6 3],1268873,[3 5 4 8 1 9 6 7 2 0]
61,346352,[0 9 5 7 1 3 4 6 2 8],325115,[0 9 1 5 6 3 4 8 7 2],790231,[2 1 6 8 5 3 4 0 9 7],321418,[0 8 9 6 3 4 2 7 1 5],1316037,[3 6 7 0 8 9 5 2 4 1]
62,474444,[1 3 8 0 9 6 5 2 4 7],321164,[0 8 9 6 1 3 7 4 2 5],511899,[1 4 7 5 9 8 0 3 6 2],427200,[1 2 6 8 4 0 3 5 7 9],1033545,[2 8 6 0 4 9 3 5 7 1]
63,263679,[0 7 5 3 2 4 8 6 9 1],139681,[0 4 5 8 1 2 3 6 9 7],453349,[1 3 2 9 6 8 5 0 7 4],328788,[0 9 2 3 6 8 5 1 4 7],1349433,[3 7 4 8 1 2 5 6 9 0]
64,465923,[1 3 6 5 0 8 4 9 7 2],295261,[0 8 3 6 1 5 7 2 9 4],665075,[1 8 4 9 6 2 3 7 5 0],618747,[1 7 3 8 4 2 0 6 9 5],1021037,[2 8 3 6 0 7 1 9 5 4]
65,349176,[0 9 6 2 8 7 1 3 4 5],345880,[0 9 5 6 3 2 7 8 1 4],678249,[1 8 7 5 0 2 4 6 9 3],564090,[1 5 9 8 3 6 7 0 2 4],1232065,[3 4 6 5 1 2 0 7 9 8]
66,204032,[0 6 1 5 4 3 7 8 2 9],180425,[0 5 4 8 6 3 7 9 2 1],740638,[2 0 4 9 6 8 7 5 1 3],351521,[0 9 6 7 2 3 5 8 4 1],1086921,[2 9 8 5 4 6 1 3 7 0]
67,463711,[1 3 6 0 2 5 7 4 9 8],367524,[1 0 2 9 5 7 6 3 4 8],791169,[2 1 6 9 8 0 4 5 7 3],309168,[0 8 6 3 4 5 1 2 7 9],1054427,[2 9 1 3 5 8 4 7 6 0]
68,252371,[0 7 3 1 6 2 5 9 8 4],301240,[0 8 4 7 3 2 6 9 1 5],752282,[2 0 7 3 9 1 4 6 5 8],379385,[1 0 5 3 9 6 7 8 4 2],1014790,[2 8 1 4 5 6 9 7 0 3]
69,252571,[0 7 3 1 8 6 9 2 5 4],363048,[1 0 2 3 5 7 4 6 8 9],664022,[1 8 4 7 2 5 6 3 0 9],549683,[1 5 7 0 4 8 3 9 6 2],1230191,[3 4 6 0 7 5 9 8 2 1]
70,392120,[1 0 7 8 5 6 3 4 2 9],346842,[0 9 5 7 6 2 8 1 3 4],585930,[1 6 5 2 8 7 9 0 3 4],346330,[0 9 5 7 1 2 4 8 3 6],1238964,[3 4 7 8 6 5 2 0 1 9]
71,203233,[0 6 1 4 3 8 2 5 9 7],154901,[0 4 8 7 1 9 2 6 5 3],528791,[1 5 0 9 4 6 8 7 3 2],558169,[1 5 8 7 2 4 0 3 9 6],1124556,[3 0 9 1 8 4 6 2 5 7]
72,161003,[0 4 9 8 5 6 2 7 3 1],178510,[0 5 4 3 9 6 8 7 1 2],771425,[2 1 3 0 6 7 8 9 5 4],419019,[1 2 5 0 9 8 3 6 7 4],1032061,[2 8 5 7 3 4 6 0 9 1]
73,173164,[0 5 3 4 7 1 2 9 6 8],451357,[1 3 2 6 9 4 7 0 8 5],534099,[1 5 2 9 7 8 0 4 6 3],331499,[0 9 2 7 4 5 3 8 6 1],1008448,[2 8 0 1 6 7 5 9 3 4]
74,239642,[0 6 9 4 8 1 2 5 3 7],456706,[1 3 4 7 2 9 5 8 0 6],717509,[1 9 7 3 5 2 0 8 6 4],482216,[1 3 9 6 7 4 2 5 0 8],1262472,[3 5 2 6 4 8 0 1 7 9]
75,455332,[1 3 4 5 6 7 0 9 2 8],406388,[1 2 0 7 5 6 9 4 3 8],499242,[1 4 5 0 6 3 9 2 7 8],351590,[0 9 6 7 2 8 4 3 1 5],1314785,[3 6 5 9 0 4 7 8 2 1]
76,388491,[1 0 7 2 6 5 3 8 9 4],319779,[0 8 9 4 1 7 2 5 6 3],521062,[1 4 9 3 7 0 8 6 2 5],580260,[1 6 4 0 9 5 7 2 3 8],1039635,[2 8 7 1 9 5 0 4 6 3]
77,205646,[0 6 1 8 5 7 4 3 2 9],428341,[1 2 6 9 8 4 5 0 7 3],630025,[1 7 6 0 2 4 3 5 9 8],466840,[1 3 6 7 4 2 8 9 0 5],1204562,[3 2 9 0 1 4 5 7 6 8]
78,341325,[0 9 4 7 1 3 8 5 6 2],453766,[1 3 4 0 5 6 9 8 2 7],572203,[1 6 2 5 8 3 9 0 7 4],296611,[0 8 3 7 9 5 6 1 4 2],1219828,[3 4 2 0 5 6 1 9 7 8]
79,269342,[0 7 6 4 1 5 8 3 2 9],331710,[0 9 2 7 6 3 4 1 5 8],520113,[1 4 9 2 5 3 6 7 8 0],550398,[1 5 7 2 4 8 3 0 6 9],1163426,[3 1 8 7 9 2 0 5 4 6]
80,389731,[1 0 7 4 3 8 9 2 6 5],403944,[1 2 0 4 3 6 5 7 8 9],497442,[1 4 3 7 9 2 8 0 5 6],605310,[1 7 0 2 8 4 5 3 6 9],1069049,[2 9 5 0 7 6 4 8 3 1]
81,259463,[0 7 4 5 3 1 9 8 6 2],136910,[0 4 5 2 1 9 7 6 3 8],438216,[1 2 8 9 5 7 0 3 4 6],388310,[1 0 7 2 4 9 6 5 3 8],1071883,[2 9 5 6 7 1 8 0 4 3]
82,197503,[0 5 9 2 3 8 4 1 7 6],380820,[1 0 5 6 9 4 7 2 3 8],791227,[2 1 6 9 8 4 7 0 5 3],405326,[1 2 0 5 9 7 6 4 3 8],1334572,[3 7 0 8 5 4 1 9 2 6]
83,268698,[0 7 6 3 2 1 9 4 5 8],274267,[0 7 8 3 9 4 6 1 5 2],799691,[2 1 8 6 7 0 4 9 5 3],296339,[0 8 3 7 5 4 2 9 6 1],1178513,[3 2 1 8 7 9 5 6 4 0]
84,120803,[0 3 9 8 6 5 2 7 4 1],381424,[1 0 5 7 8 4 6 9 2 3],600961,[1 6 9 2 7 0 3 4 8 5],412813,[1 2 3 9 5 0 7 4 8 6],1068899,[2 9 5 0 6 4 3 8 7 1]
85,272645,[0 7 8 1 6 2 3 9 5 4],161277,[0 4 9 8 7 6 5 2 3 1],656569,[1 8 3 2 9 5 0 4 7 6],467570,[1 3 6 8 4 5 0 7 2 9],1085106,[2 9 8 3 0 5 7 1 4 6]
86,229699,[0 6 7 5 1 2 9 3 8 4],464752,[1 3 6 2 5 9 7 8 0 4],578139,[1 6 3 7 9 8 0 4 5 2],572986,[1 6 2 7 8 9 3 5 0 4],1213413,[3 4 0 8 2 7 9 5 6 1]
87,244060,[0 7 1 4 9 8 2 6 3 5],276605,[0 7 8 9 2 1 3 6 5 4],636540,[1 7 8 3 0 5 6 2 4 9],452224,[1 3 2 8 0 6 7 9 4 5],1187010,[3 2 5 6 7 8 9 0 1 4]
88,173685,[0 5 3 6 2 4 9 7 8 1],419604,[1 2 5 3 8 7 6 0 4 9],596329,[1 6 8 3 2 5 0 4 9 7],326775,[0 9 1 7 8 2 5 4 6 3],1225784,[3 4 5 1 6 9 2 7 0 8]
89,335336,[0 9 3 5 7 4 2 6 1 8],482143,[1 3 9 6 5 8 2 0 7 4],695459,[1 9 2 8 7 4 3 6 5 0],403143,[1 0 9 8 7 4 5 3 6 2],1203863,[3 2 8 9 0 1 7 6 5 4]
90,269740,[0 7 6 4 5 9 1 8 2 3],275649,[0 7 8 5 9 1 3 4 6 2],798949,[2 1 8 5 6 9 4 0 7 3],412376,[1 2 3 8 7 5 4 6 0 9],1233986,[3 4 6 8 9 1 0 5 2 7]
91,266217,[0 7 5 8 6 3 2 4 9 1],376326,[1 0 4 7 8 2 5 3 6 9],701655,[1 9 4 2 6 0 7 5 8 3],365370,[1 0 2 6 5 8 9 3 4 7],1323058,[3 6 8 4 5 2 1 9 0 7]
92,282852,[0 8 1 2 9 3 6 4 5 7],420282,[1 2 5 4 8 3 9 0 6 7],615313,[1 7 3 0 6 8 2 4 9 5],654241,[1 8 2 7 6 0 3 4 9 5],1354915,[3 7 5 8 6 9 4 0 2 1]
93,357763,[0 9 7 8 6 2 5 1 4 3],393541,[1 0 8 2 6 5 7 3 9 4],559787,[1 5 9 0 4 8 3 7 6 2],441876,[1 2 9 6 7 3 5 0 4 8],1143623,[3 1 4 9 5 0 8 7 6 2]
94,410731,[1 2 3 6 5 8 9 0 7 4],438228,[1 2 8 9 5 7 4 0 3 6],465813,[1 3 6 4 9 7 8 2 5 0],455683,[1 3 4 5 9 2 8 0 7 6],1317028,[3 6 7 2 1 4 0 9 5 8]
95,180082,[0 5 4 8 1 7 3 9 2 6],434493,[1 2 8 3 5 7 9 4 6 0],496409,[1 4 3 6 5 8 7 9 2 0],393191,[1 0 8 2 3 6 9 7 5 4],1315099,[3 6 5 9 4 0 8 1 7 2]
96,318090,[0 8 9 1 6 5 7 2 3 4],293232,[0 8 3 2 4 7 1 5 6 9],630609,[1 7 6 0 9 2 4 5 8 3],605247,[1 7 0 2 6 8 5 4 9 3],1077075,[2 9 6 5 8 4 0 3 7 1]
97,348295,[0 9 6 1 7 4 3 2 8 5],451165,[1 3 2 6 7 8 5 0 9 4],714789,[1 9 6 7 5 3 8 2 4 0],608310,[1 7 0 6 9 3 4 2 5 8],1295332,[3 6 1 0 2 7 4 9 5 8]
98,467025,[1 3 6 7 5 9 2 4 8 0],341621,[0 9 4 7 3 8 1 6 5 2],558801,[1 5 8 9 0 6 3 4 7 2],543074,[1 5 4 8 2 7 0 6 3 9],1086879,[2 9 8 5 4 1 6 3 7 0]
99,402521,[1 0 9 8 2 4 6 7 5 3],284068,[0 8 1 4 6 3 2 9 5 7],493553,[1 4 2 9 5 8 6 7 3 0],576451,[1 6 3 4 7 8 9 0 5 2],1083060,[2 9 7 8 1 4 5 0 3 6]
100,147132,[0 4 7 2 5 1 8 3 6 9],261677,[0 7 4 9 3 6 1 8 5 2],716657,[1 9 7 2 4 0 6 8 5 3],454044,[1 3 4 0 7 8 6 2 5 9],1037598,[2 8 6 9 0 5 3 1 4 7]
1,119933,[0 3 9 7 5 4 1 8 6 2],146923,[0 4 7 2 1 5 9 3 8 6],564332,[1 5 9 8 6 4 7 2 0 3],400468,[1 0 9 5 3 4 2 8 6 7],1138979,[3 1 2 9 8 5 4 7 6 0]
2,233565,[0 6 8 3 4 2 9 5 7 1],263114,[0 7 5 2 4 8 1 6 3 9],676403,[1 8 7 2 4 6 3 9 5 0],376889,[1 0 4 8 5 7 6 9 3 2],1263052,[3 5 2 7 1 6 0 9 4 8]
3,296410,[0 8 3 7 6 1 4 9 2 5],223982,[0 6 5 4 1 7 8 3 2 9],526523,[1 5 0 6 3 8 4 9 7 2],590902,[1 6 7 2 8 0 9 5 3 4],1329512,[3 6 9 7 4 1 2 5 0 8]
4,241735,[0 6 9 8 5 3 2 1 7 4],168052,[0 5 2 4 6 7 1 9 3 8],596962,[1 6 8 4 0 7 3 9 2 5],442413,[1 2 9 7 4 6 8 3 5 0],1285634,[3 5 9 0 6 7 1 4 2 8]
5,390788,[1 0 7 5 8 4 9 3 2 6],434815,[1 2 8 3 9 5 4 0 7 6],781867,[2 1 5 0 9 6 8 3 7 4],616622,[1 7 3 4 5 6 8 2 0 9],1345646,[3 7 2 9 8 5 4 1 0 6]
6,362654,[0 9 8 7 5 1 4 3 2 6],252689,[0 7 3 1 9 6 5 8 4 2],447523,[1 3 0 8 6 4 9 2 7 5],358223,[0 9 8 1 5 2 7 6 4 3],1058418,[2 9 3 0 1 4 8 5 6 7]
7,204911,[0 6 1 7 5 4 9 8 3 2],308863,[0 8 6 2 9 7 3 1 5 4],723614,[1 9 8 5 0 2 6 4 3 7],475661,[1 3 8 4 6 9 0 7 5 2],1169573,[3 2 0 1 6 7 4 9 8 5]
8,205939,[0 6 1 9 2 3 8 4 7 5],164377,[0 5 1 7 3 9 2 4 8 6],747209,[2 0 6 3 8 7 5 9 4 1],634669,[1 7 6 9 3 8 4 0 5 2],1133277,[3 1 0 8 9 7 6 4 5 2]
9,313835,[0 8 7 2 9 3 4 6 5 1],176820,[0 5 4 1 7 6 8 2 3 9],459644,[1 3 5 2 6 4 9 7 0 8],370159,[1 0 3 6 2 8 5 4 9 7],1140585,[3 1 4 5 0 9 6 7 8 2]
10,368450,[1 0 3 2 8 6 4 7 5 9],261946,[0 7 4 9 6 8 2 5 1 3],622115,[1 7 4 5 0 3 6 9 8 2],404715,[1 2 0 5 3 8 4 7 9 6],1253914,[3 5 0 8 6 2 4 9 1 7]
