10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
18,772,[1 0 4 2 6 3 5],3220,[4 2 6 0 5 1 3],1791,[2 3 6 4 1 5 0],2291,[3 1 0 4 6 5 2]
19,904,[1 2 4 5 6 0 3],3051,[4 1 3 0 5 6 2],1599,[2 1 3 5 4 6 0],2329,[3 1 4 0 2 6 5]
20,822,[1 0 6 3 2 4 5],2767,[3 6 0 2 1 5 4],2008,[2 5 4 3 6 0 1],2091,[2 6 3 0 4 5 1]
21,703,[0 6 5 2 1 4 3],2956,[4 0 5 1 6 2 3],2004,[2 5 4 3 0 1 6],2247,[3 0 5 4 2 6 1]
22,587,[0 5 6 2 4 3 1],3085,[4 1 5 3 0 6 2],1804,[2 4 0 1 6 3 5],1957,[2 5 1 4 0 6 3]
23,521,[0 5 2 4 6 3 1],3065,[4 1 3 5 6 2 0],1932,[2 5 0 4 1 3 6],2048,[2 6 0 3 4 1 5]
24,860,[1 2 0 6 4 3 5],3108,[4 1 6 3 0 2 5],1800,[2 4 0 1 3 5 6],2425,[3 2 1 0 4 6 5]
25,659,[0 6 3 2 5 4 1],2927,[4 0 2 6 5 3 1],1738,[2 3 4 1 6 0 5],2233,[3 0 5 1 2 6 4]
26,629,[0 6 2 1 5 4 3],2788,[3 6 1 0 5 2 4],1603,[2 1 3 6 0 5 4],2234,[3 0 5 1 4 2 6]
27,567,[0 5 4 3 2 6 1],2798,[3 6 1 4 2 0 5],1969,[2 5 3 0 1 6 4],2304,[3 1 2 0 4 5 6]
28,921,[1 2 5 3 4 6 0],2898,[4 0 1 6 2 3 5],1854,[2 4 3 1 0 5 6],2113,[2 6 4 0 1 5 3]
29,690,[0 6 4 5 1 2 3],2895,[4 0 1 5 3 6 2],1817,[2 4 0 5 6 3 1],2016,[2 5 6 0 1 3 4]
30,559,[0 5 4 2 1 6 3],2798,[3 6 1 4 2 0 5],1867,[2 4 3 6 0 5 1],2362,[3 1 5 2 6 0 4]
31,663,[0 6 3 4 2 5 1],3054,[4 1 3 2 0 5 6],1683,[2 3 0 1 5 6 4],1948,[2 5 1 0 6 3 4]
32,947,[1 2 6 3 5 4 0],3138,[4 2 0 6 1 3 5],1887,[2 4 5 3 1 6 0],2153,[2 6 5 3 4 1 0]
33,803,[1 0 5 3 6 4 2],3006,[4 1 0 3 2 5 6],1545,[2 0 6 3 4 5 1],2414,[3 2 0 5 4 1 6]
34,562,[0 5 4 2 6 1 3],2841,[3 6 4 1 2 5 0],1688,[2 3 0 4 5 1 6],2292,[3 1 0 5 2 4 6]
35,734,[1 0 2 5 4 3 6],2728,[3 5 4 2 6 0 1],1771,[2 3 5 6 0 4 1],2228,[3 0 4 6 2 1 5]
36,949,[1 2 6 4 0 5 3],3078,[4 1 5 2 0 3 6],1832,[2 4 1 3 5 0 6],2233,[3 0 5 1 2 6 4]
37,520,[0 5 2 4 6 1 3],3010,[4 1 0 3 6 2 5],1618,[2 1 4 3 6 0 5],2425,[3 2 1 0 4 6 5]
38,489,[0 5 1 3 4 6 2],2839,[3 6 4 1 0 5 2],1762,[2 3 5 1 6 0 4],2053,[2 6 0 4 1 5 3]
39,612,[0 6 1 4 2 3 5],2863,[3 6 5 1 0 4 2],1810,[2 4 0 3 6 1 5],2412,[3 2 0 5 1 4 6]
40,869,[1 2 3 0 6 5 4],3123,[4 2 0 1 5 6 3],1841,[2 4 1 5 6 3 0],2158,[2 6 5 4 3 0 1]
41,578,[0 5 6 1 3 2 4],2904,[4 0 2 1 3 5 6],1804,[2 4 0 1 6 3 5],2238,[3 0 5 2 1 4 6]
42,695,[0 6 4 5 3 2 1],2825,[3 6 2 4 5 1 0],2008,[2 5 4 3 6 0 1],2297,[3 1 0 5 6 4 2]
43,928,[1 2 5 4 6 0 3],3000,[4 1 0 2 3 5 6],1980,[2 5 3 4 0 1 6],2183,[3 0 1 6 5 4 2]
44,902,[1 2 4 5 3 0 6],2854,[3 6 4 5 2 0 1],1885,[2 4 5 3 0 6 1],2348,[3 1 4 6 2 0 5]
45,765,[1 0 3 6 4 5 2],3066,[4 1 3 6 0 2 5],1564,[2 1 0 3 6 4 5],2221,[3 0 4 5 1 6 2]
46,466,[0 4 6 2 5 1 3],3128,[4 2 0 3 5 1 6],1871,[2 4 3 6 5 1 0],2112,[2 6 4 0 1 3 5]
47,855,[1 2 0 5 4 6 3],2937,[4 0 3 2 5 6 1],1851,[2 4 3 0 5 6 1],2147,[2 6 5 1 4 3 0]
48,559,[0 5 4 2 1 6 3],2906,[4 0 2 1 5 3 6],1795,[2 3 6 5 0 4 1],1966,[2 5 1 6 4 0 3]
49,586,[0 5 6 2 4 1 3],2838,[3 6 4 1 0 2 5],1990,[2 5 3 6 4 0 1],2274,[3 0 6 5 1 2 4]
50,625,[0 6 2 1 3 5 4],3133,[4 2 0 5 1 6 3],1980,[2 5 3 4 0 1 6],2053,[2 6 0 4 1 5 3]
51,667,[0 6 3 5 1 4 2],2780,[3 6 0 5 2 1 4],1904,[2 4 6 1 3 0 5],2019,[2 5 6 0 3 4 1]
52,578,[0 5 6 1 3 2 4],2838,[3 6 4 1 0 2 5],1940,[2 5 0 6 3 1 4],2379,[3 1 6 0 4 5 2]
53,618,[0 6 1 5 2 3 4],3150,[4 2 1 3 0 5 6],1897,[2 4 6 0 1 5 3],2148,[2 6 5 3 0 1 4]
54,475,[0 4 6 5 1 3 2],3071,[4 1 3 6 5 2 0],1636,[2 1 5 0 6 3 4],2135,[2 6 4 5 3 1 0]
55,932,[1 2 5 6 3 0 4],3067,[4 1 3 6 0 5 2],1894,[2 4 5 6 3 0 1],2145,[2 6 5 1 3 4 0]
56,458,[0 4 6 1 3 2 5],3018,[4 1 0 6 2 3 5],1531,[2 0 5 6 1 4 3],2323,[3 1 2 6 0 5 4]
57,561,[0 5 4 2 3 6 1],2941,[4 0 3 5 1 6 2],1930,[2 5 0 3 6 1 4],2279,[3 0 6 5 4 2 1]
58,471,[0 4 6 3 2 5 1],2914,[4 0 2 3 6 1 5],1774,[2 3 5 6 4 0 1],1951,[2 5 1 3 0 6 4]
59,476,[0 4 6 5 2 1 3],2975,[4 0 5 6 3 2 1],1984,[2 5 3 4 6 0 1],2410,[3 2 0 4 6 1 5]
60,579,[0 5 6 1 3 4 2],2857,[3 6 5 0 1 4 2],1864,[2 4 3 5 6 0 1],2083,[2 6 1 5 0 4 3]
61,501,[0 5 1 6 3 4 2],2753,[3 5 6 2 4 1 0],1716,[2 3 1 5 0 4 6],2307,[3 1 2 0 5 6 4]
62,561,[0 5 4 2 3 6 1],3062,[4 1 3 5 2 0 6],1666,[2 1 6 3 5 0 4],2345,[3 1 4 5 6 2 0]
63,514,[0 5 2 3 6 1 4],3225,[4 2 6 1 3 5 0],1707,[2 3 1 0 5 6 4],2434,[3 2 1 4 6 0 5]
64,676,[0 6 4 1 5 2 3],2962,[4 0 5 2 6 1 3],1872,[2 4 5 0 1 3 6],2352,[3 1 5 0 2 4 6]
65,799,[1 0 5 3 2 6 4],2890,[4 0 1 3 6 2 5],1816,[2 4 0 5 6 1 3],1960,[2 5 1 4 6 0 3]
66,854,[1 2 0 5 4 3 6],3201,[4 2 5 1 3 6 0],1816,[2 4 0 5 6 1 3],2043,[2 6 0 1 4 5 3]
67,631,[0 6 2 3 1 5 4],3190,[4 2 3 6 5 0 1],1794,[2 3 6 5 0 1 4],2326,[3 1 2 6 5 0 4]
68,932,[1 2 5 6 3 0 4],2766,[3 6 0 2 1 4 5],1910,[2 4 6 3 1 0 5],2167,[3 0 1 4 2 6 5]
69,566,[0 5 4 3 2 1 6],2951,[4 0 3 6 5 2 1],1582,[2 1 0 6 5 3 4],2242,[3 0 5 2 6 1 4]
70,942,[1 2 6 3 0 4 5],3220,[4 2 6 0 5 1 3],1715,[2 3 1 4 6 5 0],2245,[3 0 5 4 1 6 2]
71,722,[1 0 2 3 5 4 6],3208,[4 2 5 3 6 0 1],1578,[2 1 0 6 3 4 5],2106,[2 6 3 5 0 1 4]
72,670,[0 6 3 5 4 1 2],2937,[4 0 3 2 5 6 1],1531,[2 0 5 6 1 4 3],2093,[2 6 3 0 5 4 1]
73,616,[0 6 1 4 5 2 3],3058,[4 1 3 2 6 0 5],1997,[2 5 4 0 6 3 1],2315,[3 1 2 4 6 5 0]
74,472,[0 4 6 3 5 1 2],3155,[4 2 1 3 6 5 0],1768,[2 3 5 4 6 0 1],1977,[2 5 3 1 4 6 0]
75,700,[0 6 5 1 4 2 3],2888,[4 0 1 3 5 2 6],1715,[2 3 1 4 6 5 0],2188,[3 0 2 1 6 4 5]
76,498,[0 5 1 6 2 3 4],3096,[4 1 6 0 2 3 5],2012,[2 5 4 6 1 0 3],2386,[3 1 6 2 5 0 4]
77,618,[0 6 1 5 2 3 4],3059,[4 1 3 2 6 5 0],1841,[2 4 1 5 6 3 0],2376,[3 1 6 0 2 4 5]
78,578,[0 5 6 1 3 2 4],2854,[3 6 4 5 2 0 1],1634,[2 1 5 0 4 3 6],1959,[2 5 1 4 3 6 0]
79,550,[0 5 3 6 4 1 2],2984,[4 0 6 2 3 1 5],1683,[2 3 0 1 5 6 4],1944,[2 5 1 0 3 4 6]
80,619,[0 6 1 5 2 4 3],2828,[3 6 2 5 1 0 4],1884,[2 4 5 3 0 1 6],2197,[3 0 2 5 1 6 4]
81,734,[1 0 2 5 4 3 6],2876,[3 6 5 4 1 0 2],1754,[2 3 5 0 4 1 6],2061,[2 6 0 5 3 4 1]
82,498,[0 5 1 6 2 3 4],2917,[4 0 2 5 1 6 3],1686,[2 3 0 4 1 5 6],1958,[2 5 1 4 3 0 6]
83,790,[1 0 4 6 5 2 3],3166,[4 2 1 6 5 0 3],1881,[2 4 5 1 3 6 0],1951,[2 5 1 3 0 6 4]
84,520,[0 5 2 4 6 1 3],2802,[3 6 1 5 0 2 4],1853,[2 4 3 0 6 5 1],2110,[2 6 3 5 4 0 1]
85,852,[1 2 0 5 3 4 6],3208,[4 2 5 3 6 0 1],1980,[2 5 3 4 0 1 6],2233,[3 0 5 1 2 6 4]
86,540,[0 5 3 4 1 2 6],2881,[4 0 1 2 3 6 5],1760,[2 3 5 1 4 0 6],2189,[3 0 2 1 6 5 4]
87,785,[1 0 4 5 6 3 2],3214,[4 2 5 6 3 0 1],2006,[2 5 4 3 1 0 6],2142,[2 6 5 1 0 3 4]
88,772,[1 0 4 2 6 3 5],2851,[3 6 4 5 0 2 1],1589,[2 1 3 0 6 5 4],2402,[3 2 0 1 5 4 6]
89,590,[0 5 6 3 2 1 4],3067,[4 1 3 6 0 5 2],1810,[2 4 0 3 6 1 5],2290,[3 1 0 4 6 2 5]
90,685,[0 6 4 3 1 5 2],2735,[3 5 4 6 2 1 0],1571,[2 1 0 4 6 5 3],2342,[3 1 4 5 2 0 6]
91,843,[1 2 0 3 5 6 4],2754,[3 5 6 4 0 1 2],1919,[2 4 6 5 3 1 0],2391,[3 1 6 4 2 5 0]
92,478,[0 4 6 5 3 1 2],3131,[4 2 0 3 6 5 1],1817,[2 4 0 5 6 3 1],2228,[3 0 4 6 2 1 5]
93,947,[1 2 6 3 5 4 0],2889,[4 0 1 3 5 6 2],1794,[2 3 6 5 0 1 4],2026,[2 5 6 1 4 0 3]
94,474,[0 4 6 5 1 2 3],3220,[4 2 6 0 5 1 3],1963,[2 5 1 6 0 4 3],2348,[3 1 4 6 2 0 5]
95,864,[1 2 3 0 4 5 6],2898,[4 0 1 6 2 3 5],1555,[2 0 6 5 1 4 3],2287,[3 1 0 4 2 6 5]
96,490,[0 5 1 3 6 2 4],2739,[3 5 6 0 2 4 1],1790,[2 3 6 4 1 0 5],2330,[3 1 4 0 5 2 6]
97,636,[0 6 2 4 1 3 5],2823,[3 6 2 4 1 5 0],1813,[2 4 0 5 1 6 3],2300,[3 1 0 6 4 2 5]
98,707,[0 6 5 2 4 3 1],3189,[4 2 3 6 1 5 0],1572,[2 1 0 5 3 4 6],2268,[3 0 6 4 1 2 5]
99,559,[0 5 4 2 1 6 3],2990,[4 0 6 3 2 1 5],1612,[2 1 4 0 6 3 5],2160,[3 0 1 2 4 5 6]
100,870,[1 2 3 4 0 5 6],3092,[4 1 5 6 2 0 3],1828,[2 4 1 0 6 3 5],1964,[2 5 1 6 3 0 4]
