98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
8,551844,[1 5 7 4 3 8 6 0 2 9],795551,[2 1 7 8 9 4 6 5 3 0],232327,[0 6 8 1 7 2 4 3 9 5],3391604,[9 3 0 8 5 2 7 4 1 6],1677023,[4 6 5 8 1 0 9 7 3 2],2801384,[7 6 3 8 5 9 1 2 0 4],1252699,[3 5 0 6 9 1 8 2 7 4],2326496,[6 3 7 5 1 4 2 8 0 9],1806430,[4 9 7 2 8 3 6 5 0 1],2364146,[6 4 7 0 5 2 1 8 3 9],3076308,[8 4 2 3 6 9 5 0 1 7],1734107,[4 8 0 1 5 9 3 7 6 2],1233303,[3 4 6 7 9 2 5 1 8 0],1401205,[3 8 7 0 1 6 5 2 9 4],3445409,[9 4 3 6 1 7 5 8 2 0],3520618,[9 6 2 4 7 3 1 8 0 5],2643128,[7 2 5 4 0 1 6 8 3 9],148886,[0 4 7 5 8 6 3 2 1 9],2039483,[5 6 4 7 3 8 1 9 2 0],496692,[1 4 3 6 9 0 7 2 5 8]
9,2975331,[8 1 7 3 4 5 0 6 9 2],1233337,[3 4 6 7 9 8 0 1 5 2],2636675,[7 2 4 1 0 5 6 9 8 3],2492542,[6 8 7 3 9 0 5 4 1 2],962031,[2 6 8 9 0 7 4 3 5 1],136819,[0 4 5 2 1 3 9 6 8 7],2503831,[6 9 0 7 4 2 3 1 8 5],549224,[1 5 6 9 7 8 2 3 0 4],703445,[1 9 4 6 0 2 3 8 7 5],86485,[0 3 2 4 1 8 7 5 9 6],2034113,[5 6 3 7 0 9 4 8 2 1],1255203,[3 5 1 0 6 2 4 8 9 7],688926,[1 9 0 6 8 2 4 3 5 7],3110759,[8 5 1 2 4 9 7 6 3 0],1890927,[5 1 9 2 3 7 6 4 8 0],2296333,[6 2 9 5 3 0 7 1 8 4],2951221,[8 1 2 5 9 4 6 0 7 3],1207168,[3 2 9 5 6 7 4 8 0 1],654949,[1 8 2 9 5 7 4 0 6 3],1601673,[4 3 7 8 5 1 2 6 9 0]
10,1691455,[4 6 9 5 1 3 2 0 8 7],680726,[1 8 9 0 4 6 5 3 2 7],2488331,[6 8 5 7 0 1 3 9 4 2],2245461,[6 1 7 4 8 0 9 3 5 2],2666233,[7 3 1 0 2 8 4 5 9 6],1512425,[4 1 6 0 7 5 8 9 3 2],2251617,[6 1 8 7 2 4 3 5 9 0],2509865,[6 9 1 8 7 3 4 5 2 0],1935369,[5 3 0 1 2 4 7 8 9 6],1517496,[4 1 7 0 6 9 2 3 5 8],576686,[1 6 3 4 9 7 5 2 0 8],3361247,[9 2 3 8 4 1 7 6 5 0],1215761,[3 4 1 2 7 5 8 9 6 0],2204804,[6 0 7 4 2 3 9 5 1 8],1719592,[4 7 6 1 2 9 5 8 0 3],803633,[2 1 9 5 0 8 6 7 4 3],2349890,[6 4 2 1 8 5 0 7 3 9],1024459,[2 8 4 1 9 0 7 3 6 5],1638658,[4 5 7 0 9 3 2 8 1 6],2134557,[5 8 9 3 4 7 6 1 2 0]
11,1491378,[4 0 9 8 3 1 7 2 5 6],2773286,[7 5 8 1 6 4 3 2 0 9],3354524,[9 2 1 6 0 4 8 5 3 7],1474836,[4 0 6 7 3 2 8 1 5 9],2860992,[7 8 9 4 3 5 0 1 2 6],147479,[0 4 7 2 8 9 6 5 3 1],2456687,[6 7 9 3 0 2 8 5 4 1],1741304,[4 8 1 5 3 9 2 6 0 7],1843273,[5 0 7 8 1 6 2 3 9 4],1715494,[4 7 5 2 6 8 9 3 0 1],3121689,[8 5 3 2 7 0 4 6 9 1],1907800,[5 2 3 6 8 1 7 9 0 4],2370443,[6 4 8 2 1 7 3 9 5 0],2530195,[6 9 7 0 1 8 5 2 4 3],3133734,[8 5 6 7 2 3 1 0 4 9],2598188,[7 1 4 5 6 3 9 2 0 8],893703,[2 5 1 4 3 7 8 6 9 0],1236533,[3 4 7 2 5 6 0 9 8 1],2173926,[5 9 8 2 3 0 4 1 6 7],3549709,[9 7 0 3 1 8 5 2 6 4]
12,418909,[1 2 5 0 8 9 6 3 7 4],432095,[1 2 7 8 0 6 9 5 4 3],820888,[2 3 4 9 0 7 6 8 1 5],3483198,[9 5 3 0 7 6 2 1 4 8],1580123,[4 3 1 6 7 8 2 9 5 0],289437,[0 8 2 4 9 7 6 3 5 1],1739561,[4 8 1 2 0 5 7 9 6 3],3221771,[8 7 9 1 5 0 3 6 4 2],311463,[0 8 6 7 4 3 5 2 9 1],1824243,[5 0 2 9 7 1 3 6 8 4],2932945,[8 0 6 9 4 2 1 3 7 5],1121581,[3 0 8 5 7 4 6 1 9 2],1930465,[5 2 9 0 3 4 1 6 8 7],1850533,[5 0 9 2 3 1 7 4 8 6],632652,[1 7 6 4 8 0 5 2 3 9],892701,[2 5 1 0 9 3 8 6 7 4],681823,[1 8 9 2 7 6 3 0 5 4],2874070,[7 9 2 1 6 4 8 5 0 3],744751,[2 0 5 8 4 3 6 1 9 7],2484367,[6 8 4 9 3 0 2 1 7 5]
13,1401941,[3 8 7 1 0 9 2 6 5 4],537205,[1 5 3 7 0 8 6 2 9 4],3503338,[9 5 8 0 6 3 2 7 1 4],610873,[1 7 2 3 5 8 0 4 9 6],3450984,[9 4 5 7 0 2 1 3 6 8],3442362,[9 4 3 0 1 5 8 2 6 7],1436208,[3 9 5 8 6 2 0 1 4 7],724861,[1 9 8 6 5 3 4 0 7 2],917087,[2 5 7 9 6 1 8 4 3 0],1372391,[3 8 0 4 1 6 9 7 5 2],3210595,[8 7 5 0 1 9 6 2 4 3],2701277,[7 3 9 8 5 4 0 6 2 1],907798,[2 5 6 0 8 9 7 4 1 3],2817206,[7 6 8 9 4 3 2 1 0 5],2141802,[5 9 0 8 6 2 7 1 3 4],1041749,[2 8 7 5 9 1 0 6 4 3],2407700,[6 5 7 8 0 1 9 3 2 4],1925702,[5 2 8 0 6 4 7 3 1 9],939613,[2 6 3 5 0 1 8 4 9 7],1592745,[4 3 6 0 1 9 5 7 8 2]
14,312354,[0 8 6 9 5 7 4 1 2 3],3507160,[9 5 8 7 0 2 4 6 1 3],2698967,[7 3 9 4 5 1 8 6 2 0],1154148,[3 1 6 9 8 7 4 0 2 5],830450,[2 3 6 8 4 5 0 7 1 9],1116800,[3 0 7 6 1 8 4 5 2 9],182660,[0 5 6 2 8 1 9 4 3 7],433414,[1 2 7 9 8 5 6 4 0 3],418838,[1 2 5 0 8 4 7 6 3 9],1441153,[3 9 6 8 4 5 0 1 7 2],2050761,[5 6 8 9 1 4 2 3 7 0],2941640,[8 0 9 5 4 6 2 3 1 7],993048,[2 7 6 0 3 5 1 4 8 9],1975841,[5 4 0 1 3 6 8 9 7 2],2944360,[8 1 0 3 5 4 7 9 2 6],1871558,[5 1 4 3 6 2 8 7 0 9],2183654,[6 0 2 3 9 1 7 5 4 8],1060531,[2 9 3 4 8 6 7 0 5 1],180060,[0 5 4 8 1 6 7 2 3 9],3027286,[8 3 0 6 5 2 9 7 1 4]
15,2229947,[6 1 3 5 0 9 4 8 7 2],1491705,[4 0 9 8 6 7 2 3 5 1],732403,[2 0 3 5 4 6 9 1 8 7],1862758,[5 1 2 7 0 9 8 6 3 4],1503106,[4 1 3 2 7 9 5 8 0 6],3204091,[8 7 3 6 0 5 9 1 4 2],2956710,[8 1 3 6 5 2 4 0 7 9],3510924,[9 6 0 5 2 7 4 1 3 8],1836318,[5 0 6 3 4 8 2 1 7 9],816846,[2 3 4 0 7 1 6 5 8 9],1086735,[2 9 8 5 3 0 6 4 7 1],615901,[1 7 3 2 5 6 8 0 9 4],102465,[0 3 6 4 2 9 5 7 8 1],3445457,[9 4 3 6 2 0 7 8 5 1],1965458,[5 3 7 9 6 8 0 2 1 4],1979633,[5 4 0 8 3 9 6 7 2 1],1442271,[3 9 7 1 0 8 5 4 6 2],2599799,[7 1 4 8 6 9 5 3 2 0],1184153,[3 2 4 9 6 8 5 7 1 0],1545856,[4 2 3 8 0 1 7 9 5 6]
16,1785414,[4 9 2 1 7 5 3 0 6 8],2047347,[5 6 8 1 4 2 0 7 9 3],1348816,[3 7 4 6 2 0 8 9 1 5],3357074,[9 2 3 0 6 7 1 5 4 8],2665904,[7 3 0 9 5 8 2 4 1 6],2581652,[7 1 0 3 6 8 9 4 2 5],568864,[1 6 0 9 2 5 7 8 3 4],1847183,[5 0 8 4 6 1 9 7 3 2],1785747,[4 9 2 3 1 5 0 7 8 6],1093376,[3 0 1 9 6 5 4 7 2 8],2390258,[6 5 2 1 8 9 0 4 3 7],1177917,[3 2 1 7 9 8 6 4 5 0],3353240,[9 2 1 4 3 7 5 6 0 8],1383534,[3 8 2 5 6 4 1 0 7 9],1829787,[5 0 4 1 6 3 2 8 9 7],1048724,[2 9 0 1 6 4 8 5 3 7],2775752,[7 5 8 6 1 2 3 4 0 9],2618894,[7 1 9 5 3 0 6 4 2 8],1825770,[5 0 3 2 8 7 9 1 4 6],3056126,[8 3 7 2 5 6 4 1 0 9]
17,1729713,[4 7 9 1 3 2 5 6 8 0],3429822,[9 4 0 5 6 8 2 1 3 7],1170756,[3 2 0 5 1 6 8 4 7 9],3229736,[8 9 0 6 5 3 2 4 1 7],2764500,[7 5 4 3 6 2 8 0 1 9],1868362,[5 1 3 7 9 6 2 8 0 4],1166906,[3 1 9 5 7 2 0 6 4 8],3454455,[9 4 6 2 8 0 5 3 7 1],1243969,[3 4 8 7 6 2 0 1 9 5],2033228,[5 6 3 2 9 4 8 1 0 7],3142055,[8 5 9 2 7 4 6 3 1 0],3337425,[9 1 7 2 3 8 4 5 6 0],1832435,[5 0 4 7 1 3 6 9 8 2],3248035,[8 9 4 3 0 7 6 1 5 2],276858,[0 7 8 9 4 1 6 2 3 5],340665,[0 9 4 6 1 8 3 5 7 2],1167962,[3 1 9 7 2 0 4 6 5 8],1074073,[2 9 6 0 7 5 1 3 8 4],1846345,[5 0 8 3 4 2 1 6 9 7],2669520,[7 3 1 6 8 0 2 4 5 9]
18,2631165,[7 2 3 0 5 4 9 6 8 1],3518844,[9 6 2 1 3 7 5 0 4 8],1673713,[4 6 5 0 7 8 1 2 9 3],1345124,[3 7 2 9 1 4 8 5 0 6],1057965,[2 9 1 8 4 3 7 5 6 0],3085893,[8 4 5 1 9 6 7 2 3 0],241496,[0 6 9 8 3 4 2 5 1 7],111708,[0 3 8 2 1 9 6 4 5 7],2473335,[6 8 2 7 1 0 5 4 9 3],379542,[1 0 5 4 2 9 6 3 7 8],2841982,[7 8 3 9 1 0 6 5 2 4],3288533,[9 0 5 4 3 6 1 8 7 2],1989631,[5 4 2 8 3 1 6 0 9 7],835150,[2 3 7 6 9 4 8 5 0 1],147998,[0 4 7 3 6 2 8 5 1 9],1591774,[4 3 5 8 7 6 9 2 0 1],395467,[1 0 8 5 3 6 9 2 7 4],2981594,[8 1 9 5 0 6 2 4 3 7],3397085,[9 3 2 0 4 1 5 8 7 6],1548166,[4 2 5 1 3 6 9 8 0 7]
19,2233584,[6 1 4 2 3 5 0 7 8 9],3534895,[9 6 5 2 4 3 1 0 8 7],1304387,[3 6 2 8 5 9 1 7 4 0],1326365,[3 6 9 1 2 0 4 8 7 5],1123519,[3 0 8 9 4 6 2 1 7 5],200331,[0 5 9 7 2 4 1 6 8 3],1162826,[3 1 8 7 0 4 2 6 5 9],3253938,[8 9 5 4 2 0 7 1 3 6],2580925,[7 1 0 2 6 8 5 3 9 4],3241558,[8 9 3 1 0 7 6 5 2 4],3310904,[9 1 0 8 4 7 3 5 2 6],558475,[1 5 8 7 4 9 6 0 3 2],3593227,[9 8 0 7 4 3 6 1 5 2],848791,[2 4 0 5 9 3 6 1 8 7],2945249,[8 1 0 4 6 7 5 9 3 2],3377325,[9 2 7 0 6 3 8 4 5 1],731299,[2 0 3 1 8 4 9 5 7 6],321421,[0 8 9 6 3 4 5 1 7 2],762009,[2 0 9 3 5 1 6 7 8 4],2681056,[7 3 4 9 6 0 5 8 1 2]
20,1077115,[2 9 6 5 8 7 4 0 3 1],2164737,[5 9 6 3 4 2 1 7 8 0],326028,[0 9 1 6 7 8 4 2 3 5],1666618,[4 6 2 7 8 3 1 9 0 5],895250,[2 5 1 7 4 6 0 8 3 9],1095831,[3 0 2 5 9 8 6 4 7 1],3216863,[8 7 6 1 9 0 5 4 3 2],1734116,[4 8 0 1 5 9 7 3 2 6],128892,[0 4 2 7 1 3 8 5 6 9],2529350,[6 9 5 7 8 4 2 1 0 3],2320771,[6 3 5 4 1 8 9 0 7 2],2950335,[8 1 2 4 7 0 6 5 9 3],3258345,[8 9 6 3 2 7 1 4 5 0],1298483,[3 6 1 7 4 8 2 9 5 0],2379932,[6 5 0 2 4 8 9 3 1 7],1967860,[5 3 8 4 0 9 1 7 2 6],2795059,[7 6 2 5 0 1 9 3 8 4],2331998,[6 3 8 5 9 1 4 2 0 7],1788825,[4 9 2 8 3 7 1 5 6 0],3384624,[9 2 8 4 7 1 0 3 5 6]
21,3519174,[9 6 2 1 7 4 3 0 5 8],2229707,[6 1 3 4 8 9 2 7 5 0],2186898,[6 0 2 9 4 1 8 3 5 7],734267,[2 0 3 7 8 9 4 6 5 1],3322742,[9 1 4 2 8 5 6 3 0 7],1949802,[5 3 2 9 0 4 8 1 6 7],1995328,[5 4 3 9 1 7 6 8 0 2],300772,[0 8 4 6 7 3 1 9 2 5],2792258,[7 6 2 0 1 9 3 5 4 8],2326773,[6 3 7 5 4 8 9 1 2 0],2144408,[5 9 1 4 3 0 6 7 2 8],3024738,[8 3 0 2 1 4 9 5 6 7],2064515,[5 7 1 6 3 2 4 9 8 0],1820376,[5 0 2 3 4 9 1 6 7 8],764227,[2 0 9 6 4 5 8 1 7 3],757523,[2 0 8 4 1 7 5 9 6 3],1782184,[4 9 1 6 2 5 7 8 0 3],296854,[0 8 3 9 2 6 7 5 1 4],507494,[1 4 6 7 9 0 5 3 2 8],880708,[2 4 8 7 1 3 0 9 5 6]
22,2720762,[7 4 3 8 9 0 1 5 2 6],2570777,[7 0 8 1 5 2 6 9 4 3],2780885,[7 5 9 6 2 0 1 8 4 3],3314322,[9 1 2 6 3 4 8 0 5 7],2118624,[5 8 4 2 6 1 0 3 7 9],2513130,[6 9 2 5 3 7 8 0 1 4],2542227,[7 0 1 4 9 3 2 6 8 5],1392477,[3 8 5 1 9 7 6 2 4 0],1808400,[4 9 7 6 5 0 1 2 3 8],1487581,[4 0 9 2 1 6 7 3 8 5],924740,[2 5 9 4 3 0 8 6 1 7],1434461,[3 9 5 6 1 8 0 7 4 2],652939,[1 8 2 5 9 0 7 3 6 4],961390,[2 6 8 7 1 4 9 5 0 3],1323409,[3 6 8 5 0 4 1 2 9 7],3012052,[8 2 6 5 3 4 0 9 1 7],80722,[0 3 1 2 4 8 6 9 5 7],1741398,[4 8 1 5 6 7 2 0 3 9],2974673,[8 1 7 2 4 9 5 6 3 0],459915,[1 3 5 2 8 7 0 6 9 4]
23,783942,[2 1 5 6 8 9 3 0 4 7],2761530,[7 5 3 9 2 6 8 0 1 4],2561848,[7 0 5 3 1 8 6 9 2 4],3391282,[9 3 0 8 1 6 4 7 2 5],1452709,[4 0 1 3 7 9 6 2 8 5],139699,[0 4 5 8 1 2 9 3 7 6],2622501,[7 2 0 4 5 1 9 6 8 3],626153,[1 7 5 2 6 9 4 8 3 0],157346,[0 4 9 2 6 3 1 7 5 8],1316492,[3 6 7 1 4 8 9 2 0 5],920454,[2 5 8 6 3 4 1 0 7 9],2269387,[6 2 3 1 9 5 8 0 7 4],3493537,[9 5 6 1 0 8 2 3 7 4],1639095,[4 5 7 1 6 0 8 3 9 2],586318,[1 6 5 3 2 9 8 7 0 4],3245055,[8 9 3 7 0 1 5 4 6 2],3268775,[9 0 1 5 8 6 7 4 3 2],2320479,[6 3 5 2 9 1 7 4 8 0],1843477,[5 0 7 8 3 2 6 1 9 4],350465,[0 9 6 4 7 3 5 8 2 1]
24,2485781,[6 8 5 1 3 9 0 7 4 2],1919954,[5 2 6 9 4 7 0 3 1 8],1437997,[3 9 6 2 1 4 7 0 8 5],3439809,[9 4 2 5 6 0 3 7 8 1],2659069,[7 2 9 5 0 8 4 1 6 3],3010899,[8 2 6 3 7 9 0 4 5 1],781916,[2 1 5 0 9 8 7 4 3 6],1206944,[3 2 9 5 1 8 4 6 0 7],1008602,[2 8 0 1 9 3 4 6 5 7],2127558,[5 8 7 0 9 4 2 1 3 6],1624464,[4 5 2 3 1 6 0 7 8 9],3225514,[8 7 9 6 5 1 2 4 0 3],785358,[2 1 5 8 7 6 3 0 4 9],649072,[1 8 0 7 4 9 5 6 2 3],398482,[1 0 9 2 5 7 4 8 3 6],1844677,[5 0 8 1 2 4 7 3 9 6],747919,[2 0 6 4 8 7 3 1 9 5],3367370,[9 2 5 0 8 4 1 6 3 7],336239,[0 9 3 6 8 7 5 4 2 1],3517753,[9 6 1 8 5 4 0 2 7 3]
25,2112555,[5 8 3 1 0 7 2 6 9 4],2509733,[6 9 1 8 5 3 0 7 4 2],3349483,[9 2 0 6 1 4 8 3 7 5],3162189,[8 6 3 2 9 4 7 1 5 0],773856,[2 1 3 6 8 9 0 4 5 7],2634158,[7 2 3 6 5 1 8 4 0 9],964396,[2 6 9 3 4 7 0 8 1 5],2223136,[6 1 2 0 8 3 7 9 4 5],2466730,[6 8 1 4 0 2 5 9 3 7],2405998,[6 5 7 2 4 9 8 3 0 1],2093670,[5 7 9 2 8 1 3 0 4 6],1059555,[2 9 3 1 6 7 0 5 8 4],1296006,[3 6 1 2 0 4 7 5 8 9],3342453,[9 1 8 2 3 6 7 4 5 0],2027313,[5 6 2 1 8 3 4 7 9 0],942538,[2 6 4 0 1 7 5 9 3 8],2361927,[6 4 5 7 2 8 3 1 9 0],3375214,[9 2 6 5 7 4 8 3 0 1],967662,[2 6 9 8 7 5 1 0 3 4],3359276,[9 2 3 5 6 8 7 1 0 4]
