2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
50,12,[0 1 2 5 3 4 6],174,[0 2 4 3 1 5 6],239,[0 2 6 5 4 3 1],363,[0 4 1 2 5 6 3]
51,56,[0 1 4 3 5 2 6],113,[0 1 6 4 5 3 2],286,[0 3 2 6 5 1 4],371,[0 4 1 3 6 5 2]
52,45,[0 1 3 6 4 5 2],114,[0 1 6 5 2 3 4],277,[0 3 2 5 1 6 4],361,[0 4 1 2 3 6 5]
53,25,[0 1 3 2 4 6 5],134,[0 2 1 5 4 3 6],290,[0 3 4 1 5 2 6],331,[0 3 5 6 1 4 2]
54,28,[0 1 3 2 6 4 5],146,[0 2 3 1 5 4 6],245,[0 3 1 2 6 5 4],320,[0 3 5 2 4 1 6]
55,41,[0 1 3 5 6 4 2],184,[0 2 4 5 6 1 3],250,[0 3 1 4 6 2 5],320,[0 3 5 2 4 1 6]
56,75,[0 1 5 2 4 6 3],148,[0 2 3 1 6 4 5],214,[0 2 5 6 4 1 3],297,[0 3 4 2 5 6 1]
57,32,[0 1 3 4 5 2 6],184,[0 2 4 5 6 1 3],239,[0 2 6 5 4 3 1],372,[0 4 1 5 2 3 6]
58,57,[0 1 4 3 5 6 2],132,[0 2 1 5 3 4 6],199,[0 2 5 3 1 6 4],346,[0 3 6 2 5 1 4]
59,9,[0 1 2 4 5 6 3],119,[0 1 6 5 4 3 2],235,[0 2 6 5 1 4 3],357,[0 3 6 5 2 4 1]
60,85,[0 1 5 4 2 6 3],160,[0 2 3 5 6 1 4],226,[0 2 6 3 5 1 4],352,[0 3 6 4 5 1 2]
61,78,[0 1 5 3 2 4 6],141,[0 2 1 6 4 5 3],275,[0 3 2 4 6 5 1],345,[0 3 6 2 4 5 1]
62,78,[0 1 5 3 2 4 6],157,[0 2 3 5 1 6 4],231,[0 2 6 4 3 5 1],334,[0 3 5 6 4 1 2]
63,79,[0 1 5 3 2 6 4],177,[0 2 4 3 5 6 1],284,[0 3 2 6 4 1 5],312,[0 3 5 1 2 4 6]
64,90,[0 1 5 6 2 3 4],103,[0 1 6 3 2 5 4],240,[0 3 1 2 4 5 6],333,[0 3 5 6 2 4 1]
65,7,[0 1 2 4 3 6 5],143,[0 2 1 6 5 4 3],255,[0 3 1 5 4 6 2],364,[0 4 1 2 6 3 5]
66,29,[0 1 3 2 6 5 4],153,[0 2 3 4 5 6 1],214,[0 2 5 6 4 1 3],321,[0 3 5 2 4 6 1]
67,83,[0 1 5 3 6 4 2],190,[0 2 4 6 5 1 3],277,[0 3 2 5 1 6 4],379,[0 4 1 6 2 5 3]
68,6,[0 1 2 4 3 5 6],177,[0 2 4 3 5 6 1],254,[0 3 1 5 4 2 6],355,[0 3 6 5 1 4 2]
69,68,[0 1 4 6 3 2 5],109,[0 1 6 4 2 5 3],255,[0 3 1 5 4 6 2],374,[0 4 1 5 3 2 6]
70,8,[0 1 2 4 5 3 6],117,[0 1 6 5 3 4 2],284,[0 3 2 6 4 1 5],305,[0 3 4 5 6 2 1]
71,75,[0 1 5 2 4 6 3],131,[0 2 1 4 6 5 3],236,[0 2 6 5 3 1 4],359,[0 3 6 5 4 2 1]
72,38,[0 1 3 5 4 2 6],133,[0 2 1 5 3 6 4],286,[0 3 2 6 5 1 4],382,[0 4 1 6 5 2 3]
73,75,[0 1 5 2 4 6 3],194,[0 2 5 1 4 3 6],270,[0 3 2 4 1 5 6],327,[0 3 5 4 2 6 1]
74,94,[0 1 5 6 4 2 3],143,[0 2 1 6 5 4 3],285,[0 3 2 6 4 5 1],386,[0 4 2 1 5 3 6]
75,101,[0 1 6 2 5 4 3],163,[0 2 3 6 1 5 4],287,[0 3 2 6 5 4 1],390,[0 4 2 3 1 5 6]
76,95,[0 1 5 6 4 3 2],165,[0 2 3 6 4 5 1],288,[0 3 4 1 2 5 6],383,[0 4 1 6 5 3 2]
77,92,[0 1 5 6 3 2 4],188,[0 2 4 6 3 1 5],204,[0 2 5 4 1 3 6],383,[0 4 1 6 5 3 2]
78,35,[0 1 3 4 6 5 2],105,[0 1 6 3 4 5 2],274,[0 3 2 4 6 1 5],351,[0 3 6 4 2 5 1]
79,88,[0 1 5 4 6 2 3],100,[0 1 6 2 5 3 4],292,[0 3 4 1 6 2 5],334,[0 3 5 6 4 1 2]
80,91,[0 1 5 6 2 4 3],150,[0 2 3 4 1 5 6],276,[0 3 2 5 1 4 6],305,[0 3 4 5 6 2 1]
81,68,[0 1 4 6 3 2 5],188,[0 2 4 6 3 1 5],273,[0 3 2 4 5 6 1],299,[0 3 4 2 6 5 1]
82,83,[0 1 5 3 6 4 2],140,[0 2 1 6 4 3 5],234,[0 2 6 5 1 3 4],315,[0 3 5 1 4 6 2]
83,4,[0 1 2 3 6 4 5],163,[0 2 3 6 1 5 4],281,[0 3 2 5 6 4 1],380,[0 4 1 6 3 2 5]
84,26,[0 1 3 2 5 4 6],118,[0 1 6 5 4 2 3],245,[0 3 1 2 6 5 4],311,[0 3 4 6 5 2 1]
85,94,[0 1 5 6 4 2 3],102,[0 1 6 3 2 4 5],269,[0 3 2 1 6 5 4],383,[0 4 1 6 5 3 2]
86,87,[0 1 5 4 3 6 2],162,[0 2 3 6 1 4 5],248,[0 3 1 4 5 2 6],375,[0 4 1 5 3 6 2]
87,49,[0 1 4 2 3 6 5],180,[0 2 4 5 1 3 6],229,[0 2 6 4 1 5 3],351,[0 3 6 4 2 5 1]
88,65,[0 1 4 5 6 3 2],161,[0 2 3 5 6 4 1],261,[0 3 1 6 4 5 2],348,[0 3 6 4 1 2 5]
89,96,[0 1 6 2 3 4 5],110,[0 1 6 4 3 2 5],275,[0 3 2 4 6 5 1],349,[0 3 6 4 1 5 2]
90,70,[0 1 4 6 5 2 3],108,[0 1 6 4 2 3 5],215,[0 2 5 6 4 3 1],312,[0 3 5 1 2 4 6]
91,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
92,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
93,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
94,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
95,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
96,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
97,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
98,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
99,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
100,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
