70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
48,2665,[3 5 1 0 2 6 4],154,[0 2 3 4 6 1 5],2498,[3 2 6 0 4 1 5],181,[0 2 4 5 1 6 3]
49,2818,[3 6 2 1 5 0 4],1988,[2 5 3 6 1 0 4],1032,[1 3 5 0 2 4 6],1262,[1 5 3 4 2 0 6]
50,316,[0 3 5 1 6 2 4],2994,[4 0 6 5 1 2 3],247,[0 3 1 4 2 6 5],1111,[1 4 2 3 0 6 5]
51,1590,[2 1 3 4 0 5 6],2009,[2 5 4 3 6 1 0],2263,[3 0 6 2 1 5 4],2523,[3 4 0 1 5 6 2]
52,2233,[3 0 5 1 2 6 4],2603,[3 4 5 1 6 2 0],1344,[1 6 2 0 3 4 5],3322,[4 3 5 1 6 0 2]
53,451,[0 4 5 6 1 3 2],460,[0 4 6 1 5 2 3],1196,[1 4 6 5 2 0 3],3160,[4 2 1 5 6 0 3]
54,2470,[3 2 4 6 5 0 1],1718,[2 3 1 5 4 0 6],2987,[4 0 6 2 5 3 1],2713,[3 5 4 0 1 6 2]
55,1388,[1 6 3 5 2 0 4],1132,[1 4 3 0 6 2 5],2831,[3 6 2 5 4 1 0],3412,[4 5 2 0 6 1 3]
56,2210,[3 0 4 1 5 2 6],2170,[3 0 1 4 6 2 5],774,[1 0 4 3 2 5 6],1867,[2 4 3 6 0 5 1]
57,2745,[3 5 6 1 2 4 0],3211,[4 2 5 6 0 3 1],1418,[1 6 5 0 3 2 4],2083,[2 6 1 5 0 4 3]
58,1833,[2 4 1 3 5 6 0],2090,[2 6 3 0 4 1 5],440,[0 4 5 2 3 1 6],220,[0 2 6 1 5 3 4]
59,941,[1 2 6 0 5 4 3],3156,[4 2 1 5 0 3 6],2999,[4 0 6 5 3 2 1],3100,[4 1 6 0 5 2 3]
60,77,[0 1 5 2 6 4 3],1232,[1 5 2 3 4 0 6],1563,[2 1 0 3 5 6 4],3168,[4 2 3 0 1 5 6]
61,3299,[4 3 2 1 6 5 0],3274,[4 3 1 2 6 0 5],419,[0 4 3 2 6 5 1],375,[0 4 1 5 3 6 2]
62,158,[0 2 3 5 4 1 6],1101,[1 4 0 6 3 5 2],690,[0 6 4 5 1 2 3],1744,[2 3 4 5 6 0 1]
63,1862,[2 4 3 5 1 0 6],649,[0 6 3 1 2 5 4],468,[0 4 6 3 1 2 5],2006,[2 5 4 3 1 0 6]
64,2964,[4 0 5 3 1 2 6],368,[0 4 1 3 5 2 6],2020,[2 5 6 0 4 1 3],2367,[3 1 5 4 2 6 0]
65,947,[1 2 6 3 5 4 0],2245,[3 0 5 4 1 6 2],2999,[4 0 6 5 3 2 1],2108,[2 6 3 5 1 0 4]
66,2636,[3 4 6 5 1 0 2],393,[0 4 2 3 5 6 1],2945,[4 0 3 5 6 2 1],2151,[2 6 5 3 1 4 0]
67,951,[1 2 6 4 3 5 0],377,[0 4 1 5 6 3 2],255,[0 3 1 5 4 6 2],3556,[4 6 3 0 5 1 2]
68,2521,[3 4 0 1 2 6 5],864,[1 2 3 0 4 5 6],1186,[1 4 6 2 5 0 3],175,[0 2 4 3 1 6 5]
69,3375,[4 5 0 3 2 6 1],451,[0 4 5 6 1 3 2],3018,[4 1 0 6 2 3 5],2585,[3 4 2 5 6 1 0]
70,1940,[2 5 0 6 3 1 4],1771,[2 3 5 6 0 4 1],2704,[3 5 2 4 6 0 1],582,[0 5 6 2 1 3 4]
71,1498,[2 0 4 3 6 1 5],2766,[3 6 0 2 1 4 5],2547,[3 4 1 0 5 6 2],3083,[4 1 5 2 6 3 0]
72,2226,[3 0 4 6 1 2 5],916,[1 2 5 0 6 3 4],780,[1 0 4 5 2 3 6],1996,[2 5 4 0 6 1 3]
73,2995,[4 0 6 5 1 3 2],240,[0 3 1 2 4 5 6],3093,[4 1 5 6 2 3 0],2382,[3 1 6 2 0 4 5]
74,471,[0 4 6 3 2 5 1],3351,[4 3 6 2 1 5 0],1448,[2 0 1 4 5 3 6],1657,[2 1 6 0 3 5 4]
75,775,[1 0 4 3 2 6 5],3096,[4 1 6 0 2 3 5],1974,[2 5 3 1 0 4 6],987,[1 3 2 0 5 6 4]
76,2004,[2 5 4 3 0 1 6],3177,[4 2 3 1 5 6 0],2592,[3 4 5 0 1 2 6],1308,[1 5 6 3 0 2 4]
77,1923,[2 5 0 1 4 6 3],3096,[4 1 6 0 2 3 5],494,[0 5 1 4 3 2 6],2746,[3 5 6 1 4 0 2]
78,3402,[4 5 1 6 0 2 3],2973,[4 0 5 6 2 3 1],3441,[4 5 3 1 2 6 0],1151,[1 4 3 6 5 2 0]
79,594,[0 5 6 4 1 2 3],1824,[2 4 1 0 3 5 6],681,[0 6 4 2 3 5 1],3155,[4 2 1 3 6 5 0]
80,932,[1 2 5 6 3 0 4],1255,[1 5 3 2 0 6 4],848,[1 2 0 4 5 3 6],613,[0 6 1 4 2 5 3]
81,2088,[2 6 3 0 1 4 5],2075,[2 6 1 3 5 4 0],1415,[1 6 4 5 3 2 0],918,[1 2 5 3 0 4 6]
82,273,[0 3 2 4 5 6 1],2590,[3 4 2 6 5 0 1],3094,[4 1 5 6 3 0 2],2153,[2 6 5 3 4 1 0]
83,1002,[1 3 2 6 0 4 5],2685,[3 5 1 6 2 4 0],2035,[2 5 6 4 0 3 1],454,[0 4 5 6 3 1 2]
84,776,[1 0 4 3 5 2 6],1230,[1 5 2 3 0 4 6],2460,[3 2 4 5 0 1 6],2054,[2 6 0 4 3 1 5]
85,2328,[3 1 4 0 2 5 6],1309,[1 5 6 3 0 4 2],2563,[3 4 1 6 0 5 2],3439,[4 5 3 1 0 6 2]
86,1217,[1 5 0 4 6 3 2],1067,[1 3 6 2 5 4 0],745,[1 0 3 2 4 6 5],99,[0 1 6 2 4 5 3]
87,2554,[3 4 1 2 6 0 5],1952,[2 5 1 3 4 0 6],3040,[4 1 2 5 6 0 3],201,[0 2 5 3 4 6 1]
88,2126,[2 6 4 3 1 0 5],3317,[4 3 5 0 6 2 1],614,[0 6 1 4 3 2 5],2788,[3 6 1 0 5 2 4]
89,1074,[1 3 6 5 0 2 4],912,[1 2 5 0 3 4 6],2922,[4 0 2 6 1 3 5],3180,[4 2 3 5 0 1 6]
90,1390,[1 6 3 5 4 0 2],1875,[2 4 5 0 3 6 1],127,[0 2 1 4 3 6 5],1203,[1 5 0 2 4 6 3]
91,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
92,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
93,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
94,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
95,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
96,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
97,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
98,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
99,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
100,5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0],5039,[6 5 4 3 2 1 0]
